LSOA11CD,sum
E01000008,1794
E01000016,1851
E01000020,2193
E01000036,1472
E01000048,642
E01000051,1107
E01000067,2237
E01000070,2073
E01000074,1759
E01000081,1976
E01000094,2461
E01000099,2777
E01000105,2333
E01000111,2156
E01000121,1477
E01000144,1660
E01000174,1759
E01000182,1619
E01000208,1628
E01000213,1350
E01000248,1700
E01000276,1537
E01000289,1585
E01000291,1560
E01000308,2108
E01000318,1924
E01000334,1675
E01000335,2726
E01000356,1568
E01000367,2265
E01000370,1558
E01000377,1476
E01000389,1700
E01000401,1816
E01000436,1763
E01000442,1679
E01000469,1738
E01000476,2196
E01000481,1635
E01000489,1729
E01000504,1799
E01000512,1706
E01000527,1875
E01000528,1725
E01000538,1623
E01000559,1377
E01000573,1671
E01000584,1560
E01000586,2379
E01000588,3191
E01000595,1784
E01000596,1846
E01000625,1672
E01000626,1547
E01000641,1951
E01000643,2243
E01000659,1465
E01000664,1661
E01000682,1605
E01000685,1628
E01000694,2298
E01000706,1375
E01000718,2056
E01000726,1305
E01000731,1380
E01000762,1748
E01000775,2285
E01000796,1537
E01000811,1367
E01000842,1431
E01000857,1391
E01000879,1300
E01000882,1453
E01000894,1270
E01000907,1484
E01000929,1915
E01000935,1596
E01000943,1585
E01000947,1665
E01000952,1690
E01000955,1347
E01000961,1791
E01000963,1920
E01000980,1495
E01000981,1730
E01000996,1329
E01001014,4120
E01001031,1457
E01001046,1924
E01001058,1355
E01001062,1510
E01001063,1532
E01001070,1787
E01001093,1795
E01001098,1470
E01001102,1516
E01001105,1737
E01001106,1503
E01001120,1347
E01001121,1325
E01001123,1617
E01001125,1645
E01001128,1602
E01001130,1765
E01001158,1532
E01001159,1947
E01001169,1831
E01001237,1563
E01001249,2437
E01001270,1763
E01001271,1919
E01001283,1781
E01001294,2030
E01001295,1794
E01001306,1639
E01001318,1949
E01001320,1623
E01001326,1960
E01001329,1966
E01001346,1955
E01001363,1994
E01001394,1997
E01001397,2164
E01001405,1802
E01001408,1670
E01001409,2035
E01001429,2328
E01001451,1661
E01001456,1395
E01001460,2113
E01001461,1574
E01001478,1661
E01001485,1858
E01001497,1456
E01001500,1591
E01001524,1563
E01001532,1665
E01001547,2092
E01001563,1735
E01001565,1676
E01001573,1574
E01001606,1626
E01001641,1866
E01001673,2404
E01001677,2164
E01001684,1446
E01001700,2369
E01001710,1760
E01001714,2051
E01001724,2895
E01001731,2666
E01001738,1742
E01001744,2004
E01001747,2329
E01001760,1885
E01001763,1633
E01001768,1867
E01001795,1310
E01001803,1802
E01001807,1807
E01001834,1988
E01001835,1233
E01001836,1857
E01001873,1502
E01001881,1876
E01001886,1524
E01001919,1545
E01001925,1572
E01001940,1538
E01001941,1567
E01001951,1515
E01001954,1526
E01001958,1724
E01001963,1799
E01001964,1629
E01001979,2292
E01001989,1722
E01002011,1748
E01002019,1371
E01002024,1271
E01002046,1619
E01002061,1545
E01002065,1595
E01002072,1875
E01002082,1419
E01002087,1913
E01002093,1839
E01002096,1691
E01002107,1819
E01002118,1880
E01002123,1713
E01002136,2032
E01002137,1747
E01002146,1462
E01002151,1564
E01002154,3047
E01002164,1923
E01002165,1763
E01002170,1369
E01002174,1568
E01002175,1420
E01002190,1708
E01002191,2023
E01002193,2045
E01002199,1570
E01002201,1712
E01002214,1910
E01002218,1818
E01002225,1753
E01002230,1837
E01002232,2153
E01002235,1881
E01002247,2486
E01002249,4333
E01002250,1833
E01002277,1622
E01002299,1817
E01002301,1637
E01002339,1647
E01002352,1987
E01002363,1480
E01002364,1355
E01002369,2045
E01002411,2129
E01002415,1714
E01002425,1694
E01002442,1625
E01002443,2042
E01002449,2145
E01002455,1983
E01002457,1606
E01002493,2001
E01002504,3047
E01002506,2076
E01002511,1626
E01002518,1319
E01002538,1687
E01002547,1716
