LSOA11CD,sum
E01002008,1342
E01002013,1361
E01002021,1429
E01002022,2164
E01002026,1781
E01002036,1861
E01002039,1672
E01002049,1898
E01002053,2024
E01002057,1794
E01002066,2612
E01002071,1780
E01002075,1969
E01002077,2268
E01002088,1800
E01002101,1980
E01002103,1851
E01002106,2030
E01002109,1872
E01002110,1664
E01002113,1559
E01002124,1793
E01002125,1970
E01002131,1711
E01002132,2039
E01002138,1611
E01002142,1858
E01002152,1615
E01002156,1568
E01002158,1405
E01002161,2058
E01002162,1928
E01002167,1607
E01002173,1913
E01002176,1695
E01002188,1608
E01002196,1822
E01002198,1812
E01002200,2199
E01002203,1811
E01002208,1360
E01002210,1546
E01002222,1604
E01002227,2277
E01002231,2056
E01002234,1965
E01002251,1595
E01002253,1583
E01002258,1839
E01002259,1548
E01002263,1608
E01002274,1665
E01002276,2074
E01002279,1746
E01002281,2463
E01002284,2068
E01002287,1598
E01002288,1598
E01002290,1492
E01002302,1724
E01002305,1714
E01002312,1697
E01002313,2258
E01002316,2075
E01002317,1548
E01002319,1861
E01002331,1665
E01002332,1753
E01002335,1480
E01002342,1722
E01002345,1957
E01002350,1724
E01002351,1769
E01002353,2047
E01002355,1492
E01002371,1709
E01002373,1701
E01002379,1599
E01002384,1638
E01002388,1649
E01002390,1487
E01002400,1996
E01002401,2337
E01002407,3827
E01002416,1746
E01002418,1778
E01002419,1692
E01002420,1617
E01002422,1564
E01002424,1695
E01002428,1566
E01002434,1329
E01002438,1442
E01002448,2152
E01002454,1920
E01002464,1619
E01002465,1714
E01002484,1428
E01002485,2031
E01002490,2138
E01002494,1802
E01002497,2480
E01002498,1414
E01002529,2537
E01002530,1790
E01002531,1679
E01002532,4174
E01002535,2188
E01002536,1327
E01002537,2485
E01002545,1495
E01002548,2120
E01002550,1847
E01002553,1760
E01002554,4384
E01002557,2077
E01002558,2198
E01002564,1896
E01002568,3741
E01002570,1620
E01002573,1548
E01002575,1617
E01002577,1660
E01002578,1547
E01002580,1451
E01002582,1662
E01002598,1928
E01002599,1577
E01002603,1947
E01002613,1923
E01002615,1624
E01002629,2685
E01002632,1918
E01002633,2229
E01002634,1766
E01002636,2125
E01002637,1908
E01002641,2693
E01002642,3706
E01002645,2258
E01002646,2323
E01002652,1918
E01002655,1866
E01002658,1346
E01002659,1459
E01002662,2510
E01002669,1912
E01002671,1847
E01002693,1792
E01002695,1476
E01002697,1964
E01002708,2116
E01002725,1359
E01002726,1712
E01002729,1497
E01002730,1755
E01002734,2366
E01002741,1535
E01002743,1523
E01002745,1409
E01002762,1871
E01002771,1548
E01002772,1886
E01002790,1412
E01002793,1845
E01002798,1977
E01002800,1298
E01002803,3215
E01002806,1645
E01002808,1915
E01002825,1785
E01002838,913
E01002846,1292
E01002849,1542
E01002851,1340
E01002854,1103
E01002861,1254
E01002863,1114
E01002868,1355
E01002875,1260
E01002876,1830
E01002883,1476
E01002885,1317
E01002894,1318
E01002895,1145
E01002901,1041
E01002904,1294
E01002905,1672
E01002909,2133
E01002919,1990
E01002924,1546
E01002927,1681
E01002934,1899
E01002938,2001
E01002945,1572
E01002954,1374
E01002955,1501
E01002958,1738
E01002962,1612
E01002967,1860
E01002968,2908
E01002970,1806
E01002972,2052
E01002980,1407
E01002987,1897
E01002999,1535
E01003005,1543
E01003007,1626
E01003009,2056
E01003016,1203
E01003018,2020
E01003025,2046
E01003029,1828
E01003032,1722
E01003037,1443
E01003050,1586
E01003058,1979
E01003059,2213
E01003062,1834
E01003064,1464
E01003075,1716
E01003078,1627
E01003081,1858
E01003094,1482
E01003101,1432
E01003105,1704
E01003107,1852
E01003113,1798
E01003114,2423
E01003118,1863
E01003121,1569
E01003122,1905
E01003125,1781
E01003127,2093
E01003139,1529
E01003140,1506
E01003148,1837
E01003149,1755
E01003150,1942
E01003152,1906
E01003154,1997
E01003156,1597
E01003158,1624
E01003162,1857
E01003163,1597
E01003165,1644
E01003172,1945
E01003174,2039
E01003180,1602
E01003182,1788
E01003184,1422
E01003185,1930
E01003189,1766
E01003190,2318
E01003197,1657
E01003205,1392
E01003209,1895
E01003211,1561
E01003226,1838
E01003228,1578
E01003230,1997
E01003250,4552
E01003257,1602
E01003264,1638
E01003265,1645
E01003266,1724
E01003269,1604
E01003270,1643
E01003272,1991
E01003273,1507
E01003275,1698
E01003277,1674
E01003278,2084
E01003280,1645
E01003285,1751
E01003286,1736
E01003291,1544
E01003293,1569
E01003301,2634
E01003312,1756
E01003313,1571
E01003321,1748
E01003326,1815
E01003327,1630
E01003337,1434
E01003338,2028
E01003339,1690
E01003349,1544
E01003351,1689
E01003352,2289
E01003358,1792
E01003369,1641
E01003379,2027
E01003397,1523
E01003404,1830
E01003420,1483
E01003424,1533
E01003435,2127
E01003441,1898
E01003445,1809
E01003448,2303
E01003457,1630
E01003462,1419
E01003467,1767
E01003471,1723
E01003481,1479
E01003486,1205
E01003493,3354
E01003494,2115
E01003497,1652
E01003500,2047
E01003503,2882
E01003509,2064
E01003511,1924
E01003515,2111
E01003516,1889
E01003517,1884
E01003519,1619
E01003523,2466
E01003527,1827
E01003530,1893
E01003531,2253
E01003534,2323
E01003541,2022
E01003553,2021
E01003560,1676
E01003566,1962
E01003568,2586
E01003569,2464
E01003571,2280
E01003572,1673
E01003574,2546
E01003582,1599
E01003591,2255
E01003598,1893
E01003602,2187
E01003604,2292
E01003621,1652
E01003638,1906
E01003640,1958
E01003653,2163
E01003660,1772
E01003670,1532
E01003672,1697
E01003673,1921
E01003683,2185
E01003688,1842
E01003689,2230
E01003690,2155
E01003691,1608
E01003699,1554
E01003701,2053
E01003711,1912
E01003718,2003
E01003719,2402
E01003721,1895
E01003736,2037
E01003744,1454
E01003747,1361
E01003749,1765
E01003754,1722
E01003758,3052
E01003784,2007
E01003790,1498
E01003804,1905
E01003807,1967
E01003808,1886
E01003820,2030
E01003832,1487
E01003839,2282
E01003843,2215
E01003854,1418
E01003864,1464
E01003873,1632
E01003876,1866
E01003878,1469
E01003885,1541
E01003887,1797
E01003901,1790
E01003908,1816
E01003909,1635
E01003911,2090
E01003933,2369
E01003935,1284
E01003939,1976
E01003945,1736
E01003951,1490
E01003953,1910
E01003955,1891
E01003968,1147
E01003972,1469
E01003977,1872
E01003994,1828
E01003997,1295
E01003998,1425
E01004001,1769
E01004003,1824
E01004017,1642
E01004018,1899
E01004020,1746
E01004021,2115
E01004023,1649
E01004029,1994
E01004032,1498
E01004034,1603
E01004043,1356
E01004046,1561
E01004056,2317
E01004061,1657
E01004065,1507
E01004066,2091
E01004067,2213
E01004071,1527
E01004074,1706
E01004079,1391
E01004080,1393
E01004087,1565
E01004089,1345
E01004090,1344
E01004091,1282
E01004094,1865
E01004097,1656
E01004099,1615
E01004100,1527
E01004103,1776
E01004120,1514
E01004121,1584
E01004137,2560
E01004138,1810
E01004142,3457
E01004144,1770
E01004145,2278
E01004148,1820
E01004150,1985
E01004151,1964
E01004152,1775
E01004155,1908
E01004156,2018
E01004160,1650
E01004171,1608
E01004176,1525
E01004181,1734
E01004185,2116
E01004190,1386
E01004195,1697
E01004199,1695
E01004205,2203
E01004206,1465
E01004214,1620
E01004217,2077
E01004221,1975
E01004222,2730
E01004229,1419
E01004233,2204
E01004240,1682
E01004247,2640
E01004248,1888
E01004250,3045
E01004262,2227
E01004267,2199
E01004271,2463
E01004291,1911
E01004292,1671
E01004293,1988
E01004308,1441
E01004313,2125
E01004316,1036
E01004327,1506
E01004334,1891
E01004335,1742
E01004344,1904
E01004345,1792
E01004346,1795
E01004348,2948
E01004351,1645
E01004356,1696
E01004369,1754
E01004370,2106
E01004378,1851
E01004383,1687
E01004394,2004
E01004402,1873
E01004404,2853
E01004406,1846
