LSOA code,Total Crimes,2019,2020,2021,2022,2023,Average Crimes 2019-2023,sum,Crime Rate (Average Crimes/residents*1000)
E01000006,583,110,138,110,124,101,116.6,1843,63.27
E01000010,7735,1751,1802,1673,1843,666,1547.0,3515,440.11
E01000017,360,93,67,77,69,54,72.0,1724,41.76
E01000027,1576,347,326,300,321,282,315.2,2083,151.32
E01000028,745,132,145,153,149,166,149.0,1817,82.0
E01000029,1056,208,239,222,189,198,211.2,1821,115.98
E01000031,869,150,155,170,208,186,173.8,1770,98.19
E01000032,1199,222,218,210,245,304,239.8,2078,115.4
E01000038,495,96,95,81,75,148,99.0,1617,61.22
E01000044,946,176,193,208,180,189,189.2,1988,95.17
E01000058,1004,160,217,175,260,192,200.8,2138,93.92
E01000063,554,113,103,102,148,88,110.8,1780,62.25
E01000073,709,137,151,140,136,145,141.8,1849,76.69
E01000077,1010,241,265,201,188,115,202.0,1721,117.37
E01000080,618,91,129,139,119,140,123.6,1777,69.56
E01000085,837,165,230,189,117,136,167.4,1647,101.64
E01000098,1242,223,268,273,246,232,248.4,1937,128.24
E01000103,714,103,180,144,143,144,142.8,1775,80.45
E01000120,417,109,121,85,53,49,83.4,1494,55.82
E01000124,1354,317,308,290,226,213,270.8,1864,145.28
E01000132,427,78,68,94,87,100,85.4,1617,52.81
E01000134,675,113,173,141,149,99,135.0,1824,74.01
E01000136,827,134,184,131,209,169,165.4,1487,111.23
E01000139,777,194,164,178,148,93,155.4,1389,111.88
E01000140,818,132,175,157,171,183,163.6,1957,83.6
E01000145,746,121,150,131,169,175,149.2,1614,92.44
E01000147,703,81,154,96,163,209,140.6,1913,73.5
E01000158,710,178,158,120,106,148,142.0,1463,97.06
E01000161,892,193,153,184,160,202,178.4,2034,87.71
E01000162,1003,160,206,196,245,196,200.6,1651,121.5
E01000163,989,172,194,226,213,184,197.8,1695,116.7
E01000164,1812,353,670,291,227,271,362.4,1711,211.81
E01000169,255,51,48,42,50,64,51.0,1631,31.27
E01000183,539,87,120,106,110,116,107.8,1522,70.83
E01000193,3121,569,533,532,712,775,624.2,1948,320.43
E01000197,817,134,130,168,188,197,163.4,1853,88.18
E01000206,691,151,139,130,134,137,138.2,1502,92.01
E01000207,574,114,125,103,114,118,114.8,1579,72.7
E01000212,540,121,133,97,97,92,108.0,1347,80.18
E01000216,882,155,206,209,129,183,176.4,1978,89.18
E01000217,684,118,148,137,109,172,136.8,1785,76.64
E01000220,543,93,114,113,76,147,108.6,1888,57.52
E01000222,995,181,214,270,195,135,199.0,2038,97.64
E01000223,1343,270,300,272,275,226,268.6,2031,132.25
E01000224,1251,133,288,325,320,185,250.2,1693,147.78
E01000234,609,133,156,143,89,88,121.8,1780,68.43
E01000239,1366,293,387,293,219,174,273.2,2057,132.81
E01000241,626,123,171,130,108,94,125.2,1787,70.06
