,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.52810,-0.32023_352",NA,NA,0.006865234375,NA,0.0187255859375,NA,NA,NA,0.2576708984375,0.50530029296875,0.2109619140625,NA,NA,NA,NA,NA,NA,NA,NA,0.00047607421875
"51.52810,-0.32023_172",NA,NA,NA,NA,NA,NA,NA,NA,0.1117041015625,0.537412109375,0.34938232421875,NA,NA,NA,NA,NA,NA,NA,NA,0.00150146484375
"51.52810,-0.32023_262",NA,NA,NA,NA,NA,NA,NA,NA,0.1829833984375,0.523984375,0.291650390625,NA,NA,NA,NA,NA,NA,NA,NA,0.0013818359375
"51.52810,-0.32023_82",NA,NA,NA,NA,0.0060888671875,NA,NA,NA,0.1511865234375,0.517333984375,0.31843017578125,NA,NA,NA,NA,NA,NA,NA,NA,0.00696044921875
"51.52487,-0.32598_265",0.22469970703125,0.08572998046875,0.18950927734375,NA,0.04532958984375,NA,NA,0.00169189453125,NA,0.03527587890625,0.20575927734375,NA,NA,NA,NA,NA,NA,NA,NA,0.21200439453125
"51.52487,-0.32598_355",0.13684814453125,0.18181884765625,0.19665771484375,0.11779541015625,NA,0.01539306640625,NA,NA,0.05553955078125,0.002607421875,0.28604248046875,NA,NA,0.00419921875,NA,NA,NA,NA,NA,0.00309814453125
"51.52487,-0.32598_85",0.2269580078125,0.0544873046875,0.05141845703125,0.05758056640625,0.00866943359375,NA,NA,NA,0.27863525390625,0.09958740234375,NA,NA,NA,0.00505615234375,NA,NA,NA,NA,NA,0.217607421875
"51.52487,-0.32598_175",0.1963037109375,NA,0.0417138671875,NA,0.06763427734375,NA,NA,NA,0.3326611328125,0.17243896484375,0.18789794921875,NA,NA,NA,NA,NA,NA,NA,NA,0.00135009765625
"51.52507,-0.31895_80",0.381982421875,0.0546875,NA,0.03656005859375,NA,NA,NA,NA,0.142939453125,0.00752685546875,0.3574609375,NA,NA,NA,NA,NA,NA,NA,NA,0.0188427734375
"51.52507,-0.31895_170",0.388720703125,NA,NA,NA,NA,NA,NA,NA,0.079462890625,0.008330078125,0.400068359375,NA,NA,0.01442626953125,NA,NA,NA,NA,NA,0.10899169921875
"51.52507,-0.31895_260",0.373330078125,0.04927734375,NA,0.0084423828125,0.02046875,NA,NA,NA,0.0646630859375,0.00547607421875,0.40054443359375,NA,NA,0.00989990234375,NA,NA,NA,NA,NA,0.06789794921875
"51.52507,-0.31895_350",0.26186767578125,0.114384765625,0.055087890625,0.0199462890625,0.07348876953125,NA,NA,0.00121337890625,0.18114990234375,NA,0.29232666015625,NA,NA,NA,NA,NA,NA,NA,NA,0.00053466796875
"51.52423,-0.32722_84",0.376640625,0.01985107421875,0.048115234375,0.00163818359375,NA,NA,NA,NA,0.30360595703125,NA,NA,NA,NA,0.0544580078125,NA,NA,NA,NA,NA,0.19569091796875
"51.52423,-0.32722_174",0.31443359375,0.01865478515625,0.0606396484375,0.0103271484375,NA,NA,NA,NA,NA,0.01099365234375,0.35057861328125,NA,NA,0.10058837890625,NA,NA,NA,NA,NA,0.1337841796875
"51.52423,-0.32722_264",0.31894287109375,0.03741455078125,0.074482421875,0.01484619140625,NA,NA,NA,NA,NA,0.0186474609375,0.36244384765625,NA,NA,0.0588818359375,NA,NA,NA,NA,NA,0.1143408203125
"51.52423,-0.32722_354",0.36417724609375,NA,0.07724365234375,NA,NA,NA,NA,NA,0.445048828125,NA,NA,NA,NA,0.044501953125,NA,NA,NA,NA,NA,0.0690283203125
"51.52418,-0.32775_174",0.394443359375,NA,0.05044921875,0.02082763671875,0.02596923828125,0.00517822265625,NA,NA,NA,0.0040478515625,0.3883740234375,NA,NA,0.001748046875,NA,NA,NA,NA,NA,0.10896240234375
"51.52418,-0.32775_84",0.3041845703125,0.0333203125,0.03934326171875,0.019013671875,NA,NA,NA,NA,0.29275146484375,NA,0.2166162109375,0.00071044921875,NA,0.08506103515625,NA,NA,NA,NA,NA,0.0089990234375
"51.52418,-0.32775_264",0.327421875,0.0375732421875,0.004140625,0.057158203125,0.04251708984375,0.0094384765625,NA,NA,0.1446533203125,0.004267578125,0.36885986328125,NA,NA,NA,NA,NA,NA,NA,NA,0.0039697265625
"51.52418,-0.32775_354",0.2677001953125,NA,0.108271484375,0.05689453125,NA,NA,NA,NA,0.45606201171875,NA,NA,NA,NA,0.09313720703125,NA,NA,NA,NA,NA,0.0179345703125
"51.52701,-0.32045_349",0.2589892578125,NA,NA,NA,NA,NA,NA,NA,0.51556884765625,0.03341796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19202392578125
"51.52701,-0.32045_79",0.1669775390625,0.1079736328125,0.03462158203125,NA,NA,NA,NA,0.00553466796875,0.53884765625,NA,0.13917724609375,NA,NA,NA,NA,NA,NA,NA,NA,0.00686767578125
"51.52701,-0.32045_169",0.32152099609375,0.0397412109375,0.0542919921875,NA,NA,NA,NA,NA,0.2897216796875,0.0031005859375,NA,NA,NA,0.0122216796875,NA,NA,NA,NA,NA,0.27940185546875
"51.52701,-0.32045_259",0.3231298828125,0.0134423828125,0.0879052734375,0.0031201171875,NA,0.0070947265625,NA,NA,0.37172607421875,0.03404052734375,NA,NA,NA,0.01272216796875,NA,NA,NA,NA,NA,0.14681884765625
"51.52755,-0.31843_169",0.25041259765625,0.05369384765625,0.23310302734375,NA,NA,NA,NA,NA,NA,NA,0.23093017578125,NA,NA,0.0880859375,NA,NA,NA,NA,NA,0.1437744140625
"51.52755,-0.31843_79",0.2239306640625,0.00968505859375,NA,0.010625,0.01027099609375,NA,NA,NA,0.25379638671875,NA,NA,NA,NA,0.17095703125,NA,NA,NA,NA,NA,0.32073486328125
"51.52755,-0.31843_259",0.2727099609375,0.0382177734375,0.17275390625,0.00371826171875,NA,NA,NA,NA,0.2560986328125,NA,NA,NA,NA,0.0964404296875,NA,NA,NA,NA,NA,0.16006103515625
"51.52755,-0.31843_349",0.12394775390625,0.01276123046875,0.12619384765625,0.00497802734375,NA,NA,NA,NA,0.277099609375,NA,NA,NA,NA,0.2608154296875,NA,NA,NA,NA,NA,0.1942041015625
