,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.57200,0.16082_81",0.237607421875,0.09699462890625,NA,NA,0.035166015625,NA,NA,NA,0.29843505859375,0.0992138671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2325830078125
"51.57200,0.16082_351",0.264990234375,0.13047119140625,0.0511474609375,NA,0.05987060546875,NA,NA,NA,0.2699169921875,0.01732666015625,0.19804443359375,NA,NA,0.0019580078125,NA,NA,NA,NA,NA,0.0062744140625
"51.57200,0.16082_261",0.27760009765625,0.026748046875,0.18342041015625,0.0104443359375,0.01071044921875,NA,NA,0.00065673828125,0.07339599609375,0.0988427734375,0.3128369140625,NA,NA,0.00264892578125,NA,NA,NA,NA,NA,0.0026953125
"51.57200,0.16082_171",NA,0.100341796875,0.11510009765625,0.0146435546875,NA,NA,NA,0.0007421875,NA,0.30146728515625,0.37585693359375,NA,NA,0.00110107421875,NA,NA,NA,NA,NA,0.0907470703125
"51.57205,0.16112_171",0.3162109375,NA,0.1052294921875,NA,0.045322265625,NA,NA,NA,0.1382470703125,0.04694091796875,0.3451123046875,NA,NA,NA,NA,NA,NA,NA,NA,0.00293701171875
"51.57205,0.16112_81",0.38218017578125,NA,0.06058349609375,0.0320849609375,0.05841064453125,NA,NA,0.00126708984375,0.226044921875,0.00568115234375,0.226435546875,NA,NA,NA,NA,NA,NA,NA,NA,0.00731201171875
"51.57205,0.16112_261",0.35514892578125,NA,0.03792236328125,0.034326171875,0.03275146484375,NA,NA,0.00145751953125,0.34822265625,0.040810546875,0.14430908203125,NA,NA,0.00135986328125,NA,NA,NA,NA,NA,0.00369140625
"51.57205,0.16112_351",0.25625,0.13761962890625,0.04689697265625,0.01886474609375,0.06450439453125,NA,NA,0.0014208984375,0.46013671875,0.0032666015625,0.010302734375,NA,NA,NA,NA,NA,NA,NA,NA,0.0007373046875
"51.56881,0.15082_95",0.37571044921875,0.02969482421875,0.07754150390625,NA,0.02170654296875,NA,NA,0.00130126953125,0.07120361328125,0.0339208984375,0.374892578125,NA,NA,0.00248291015625,0.00716796875,NA,NA,NA,NA,0.00437744140625
"51.56881,0.15082_185",0.16796630859375,0.19623046875,0.08502685546875,NA,0.0097802734375,NA,NA,NA,NA,0.05452392578125,0.20938232421875,NA,NA,0.00983642578125,NA,NA,NA,NA,NA,0.26725341796875
"51.56881,0.15082_275",0.37607421875,0.0216552734375,NA,0.00175048828125,0.016962890625,NA,NA,NA,0.29534423828125,0.013173828125,0.21053466796875,NA,NA,0.0360302734375,NA,NA,NA,NA,NA,0.02847412109375
"51.56881,0.15082_5",0.36140625,0.0324072265625,0.03680908203125,NA,0.0452001953125,NA,NA,NA,0.1270947265625,0.0052392578125,0.34625244140625,NA,NA,0.0419140625,NA,NA,NA,NA,NA,0.0036767578125
"51.56878,0.15110_95",0.3774609375,0.0283935546875,NA,0.000908203125,NA,NA,NA,NA,0.21429443359375,0.018349609375,0.283037109375,NA,NA,0.03193115234375,NA,NA,NA,NA,NA,0.045625
"51.56878,0.15110_185",0.1023779296875,0.2649560546875,0.13291259765625,NA,NA,NA,NA,0.001923828125,NA,0.02342529296875,0.39020751953125,NA,NA,0.0450732421875,NA,NA,NA,NA,NA,0.03912353515625
"51.56878,0.15110_275",0.3620068359375,0.03858642578125,0.06943115234375,NA,NA,NA,NA,NA,0.0585546875,0.0045068359375,0.3894921875,NA,NA,0.0134423828125,0.053232421875,NA,NA,NA,NA,0.0107470703125
"51.56878,0.15110_5",0.36570068359375,0.03467041015625,NA,0.00308349609375,NA,NA,NA,NA,0.202939453125,0.01408447265625,0.2884375,NA,NA,0.04696533203125,NA,NA,NA,NA,NA,0.04411865234375
"51.56875,0.15138_95",0.399521484375,0.01897216796875,NA,0.0135693359375,0.0115966796875,NA,NA,0.00211181640625,0.4510791015625,0.01024169921875,0.05288818359375,NA,NA,0.00921630859375,NA,NA,NA,NA,NA,0.03080322265625
"51.56875,0.15138_275",0.38087158203125,0.01998046875,0.043271484375,0.01646728515625,NA,NA,NA,NA,0.158642578125,0.0159521484375,0.31833251953125,NA,NA,0.03818603515625,0.00252685546875,NA,NA,NA,NA,0.00576904296875
