,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.45993,-0.11119_348",0.2290673828125,0.15994140625,0.168056640625,0.0130126953125,NA,NA,NA,NA,NA,NA,0.3536669921875,NA,NA,0.00630126953125,NA,NA,NA,NA,NA,0.06995361328125
"51.45993,-0.11119_258",0.2525390625,0.129462890625,0.1671337890625,0.02497802734375,NA,NA,NA,NA,0.22694580078125,NA,0.18715087890625,NA,NA,0.00823486328125,NA,NA,NA,NA,NA,0.0035546875
"51.45803,-0.11434_261",0.3792724609375,NA,NA,NA,0.0678662109375,NA,NA,NA,0.13447265625,0.0374365234375,0.3623681640625,NA,NA,0.00583740234375,0.00439697265625,NA,NA,NA,NA,0.008349609375
"51.45993,-0.11119_78",0.4213818359375,0.0058203125,0.1265771484375,0.00501953125,NA,NA,NA,NA,NA,5.37109375e-05,0.394697265625,NA,NA,0.02157470703125,NA,NA,NA,NA,NA,0.02487548828125
"51.45803,-0.11434_81",0.38654541015625,NA,0.06968017578125,NA,NA,NA,NA,NA,NA,0.00156005859375,0.44318359375,0.01033935546875,NA,0.0490283203125,0.0059814453125,NA,NA,NA,NA,0.033681640625
"51.45803,-0.11434_351",0.20884033203125,0.1406103515625,0.05107177734375,NA,0.07015869140625,0.0068798828125,NA,0.00654052734375,NA,0.00884521484375,0.39729736328125,0.00881103515625,NA,0.035322265625,NA,NA,NA,NA,NA,0.06562255859375
"51.45993,-0.11119_168",0.35253173828125,0.067431640625,0.1383447265625,0.016396484375,NA,NA,NA,NA,0.15921630859375,0.00331298828125,0.249404296875,NA,NA,0.00418701171875,NA,NA,NA,NA,NA,0.0091748046875
"51.45803,-0.11434_171",0.36193603515625,NA,0.0411767578125,NA,0.02081787109375,NA,NA,NA,NA,0.02126953125,0.4107861328125,NA,NA,0.01516357421875,NA,NA,NA,NA,NA,0.12885009765625
"51.46061,-0.11514_28",0.39017578125,0.05884033203125,0.15474853515625,NA,NA,0.02102783203125,NA,NA,NA,NA,0.3285400390625,0.0016943359375,NA,0.0008740234375,NA,NA,NA,NA,NA,0.04409912109375
"51.46061,-0.11514_118",0.3750439453125,0.07253662109375,0.136328125,0.0016943359375,NA,0.0075244140625,NA,NA,0.070869140625,0.003681640625,0.32036376953125,NA,NA,0.00392578125,NA,NA,NA,NA,NA,0.0080322265625
"51.45985,-0.11138_168",0.35601806640625,NA,0.07316162109375,NA,NA,NA,NA,NA,0.4723583984375,NA,NA,NA,NA,0.03696533203125,NA,NA,NA,NA,NA,0.06149658203125
"51.45985,-0.11138_78",0.2852880859375,0.0055517578125,0.19083740234375,0.01447509765625,NA,NA,NA,NA,0.33391357421875,0.05631591796875,0.071064453125,NA,NA,0.0369384765625,NA,NA,NA,NA,NA,0.005615234375
"51.45985,-0.11138_258",0.23023193359375,NA,0.185185546875,NA,0.00523681640625,NA,NA,NA,0.42752685546875,NA,0.03281005859375,NA,NA,0.0028759765625,NA,NA,NA,NA,NA,0.1161328125
"51.45985,-0.11138_348",0.2087353515625,NA,0.37012939453125,NA,NA,NA,NA,NA,0.37557373046875,NA,0.041474609375,NA,NA,NA,NA,NA,NA,0.00230712890625,NA,0.00177978515625
"51.46039,-0.11486_293",0.4255078125,NA,0.0535400390625,0.0068505859375,NA,0.01982177734375,NA,NA,0.1318603515625,0.002900390625,0.31891845703125,0.00124267578125,NA,0.01230224609375,NA,NA,NA,0.0051220703125,NA,0.02193359375
"51.46039,-0.11486_23",0.2807763671875,NA,0.457734375,NA,NA,NA,NA,0.0016748046875,0.05105224609375,NA,0.18548583984375,NA,0.0008154296875,0.005263671875,NA,NA,NA,0.0009375,NA,0.016259765625
