,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.64474,-0.18863_321",0.29975830078125,0.0904345703125,0.059052734375,0.0284375,NA,NA,NA,NA,0.30484375,0.008134765625,NA,NA,NA,0.00548583984375,NA,NA,NA,NA,NA,0.2038525390625
"51.64443,-0.18836_141",0.31564697265625,0.12039306640625,0.12789306640625,0.0027734375,NA,NA,NA,0.001494140625,0.30911865234375,0.0024072265625,0.10960205078125,NA,NA,0.006796875,NA,NA,NA,NA,NA,0.00387451171875
"51.64443,-0.18836_321",0.318251953125,0.094853515625,0.09754150390625,0.002587890625,NA,NA,NA,0.0016162109375,NA,0.0029150390625,0.397880859375,NA,NA,0.00233642578125,NA,NA,NA,NA,NA,0.0820166015625
"51.64443,-0.18836_51",0.286748046875,0.12861572265625,0.11770263671875,NA,NA,NA,NA,NA,0.16240478515625,0.0036865234375,0.27189453125,NA,NA,0.02521484375,NA,NA,NA,NA,NA,0.00373291015625
"51.64474,-0.18863_141",0.34430908203125,0.09107421875,0.08303466796875,NA,0.02272705078125,NA,NA,NA,0.216298828125,0.00293212890625,NA,NA,NA,0.01877685546875,NA,NA,NA,NA,NA,0.22084716796875
"51.64474,-0.18863_51",0.31172607421875,0.1148974609375,0.12995361328125,0.00294921875,NA,NA,NA,0.00171142578125,0.3103076171875,NA,0.10187255859375,NA,NA,0.02155517578125,NA,NA,NA,0.001962890625,NA,0.00306396484375
"51.64502,-0.18894_231",0.25013427734375,0.1339892578125,0.0606591796875,0.005205078125,0.060380859375,NA,NA,0.001220703125,NA,0.01294677734375,0.38393310546875,NA,NA,0.00935546875,NA,NA,NA,NA,NA,0.08217529296875
"51.64165,-0.18821_161",0.30440673828125,0.08253173828125,0.0589013671875,0.0037841796875,0.00787841796875,NA,NA,NA,0.29055419921875,NA,0.22364013671875,NA,NA,0.02429443359375,NA,NA,NA,NA,NA,0.0040087890625
"51.64059,-0.18677_88",0.3147705078125,NA,NA,0.014033203125,NA,NA,NA,NA,0.296025390625,0.09457763671875,0.180234375,NA,NA,0.00508544921875,NA,NA,NA,NA,NA,0.0952734375
"51.64530,-0.18925_51",0.26224609375,0.0640478515625,0.105869140625,NA,NA,NA,NA,NA,0.1473095703125,0.01887451171875,0.29256103515625,NA,NA,0.0957177734375,NA,NA,NA,NA,NA,0.0133740234375
"51.64058,-0.18760_358",0.307314453125,0.02901611328125,0.06181884765625,NA,NA,NA,NA,NA,0.485048828125,0.1014306640625,0.0028515625,NA,NA,0.00255615234375,NA,NA,NA,NA,NA,0.00996337890625
"51.64031,-0.18558_141",0.30620849609375,0.05383056640625,NA,0.02682373046875,NA,NA,NA,NA,0.24515380859375,NA,NA,NA,NA,0.06470947265625,NA,NA,NA,NA,NA,0.30327392578125
"51.64427,-0.18823_321",0.27692138671875,0.0440380859375,0.13066650390625,0.01650390625,NA,NA,NA,NA,NA,0.00029541015625,0.39244140625,NA,NA,0.09583740234375,NA,NA,NA,NA,NA,0.0432958984375
"51.64502,-0.18894_51",0.29385986328125,0.06651123046875,0.08698974609375,NA,NA,NA,NA,NA,0.143154296875,NA,0.31253173828125,NA,NA,0.08451904296875,NA,NA,NA,NA,NA,0.01243408203125
"51.64427,-0.18823_51",0.2838916015625,0.12093017578125,0.11923095703125,0.00966552734375,NA,NA,NA,0.0015625,0.115,0.00337890625,0.32549560546875,NA,NA,0.01785888671875,NA,NA,NA,NA,NA,0.00298583984375
"51.64502,-0.18894_321",0.29546875,0.08839599609375,0.05650146484375,NA,NA,0.005546875,NA,NA,NA,0.01995849609375,0.439921875,NA,NA,0.023681640625,NA,NA,NA,NA,NA,0.07052490234375
"51.64502,-0.18894_141",0.31182373046875,0.0594580078125,NA,0.00180419921875,0.04180419921875,NA,NA,NA,0.18697998046875,NA,0.258056640625,NA,NA,0.0703759765625,NA,NA,NA,NA,NA,0.069697265625
"51.64427,-0.18823_231",0.24747314453125,0.0487841796875,0.1369970703125,0.00896728515625,NA,NA,NA,NA,NA,0.00861083984375,0.41056884765625,NA,NA,0.115341796875,NA,NA,NA,NA,NA,0.0232568359375
"51.64427,-0.18823_141",0.31830322265625,0.09664794921875,0.09373046875,NA,NA,NA,NA,NA,0.0894482421875,0.0084814453125,0.372822265625,NA,NA,0.01361572265625,NA,NA,NA,NA,NA,0.00695068359375
"51.64257,-0.18702_141",0.299873046875,0.0657666015625,0.11919189453125,NA,NA,NA,NA,NA,NA,0.00719970703125,0.40815185546875,NA,NA,0.03612548828125,NA,NA,NA,NA,NA,0.06369140625
"51.64257,-0.18702_321",0.26750732421875,0.033857421875,0.11771240234375,0.01805419921875,NA,NA,NA,NA,NA,0.0026220703125,0.39739501953125,NA,NA,0.11777587890625,NA,NA,NA,NA,NA,0.04507568359375
"51.64257,-0.18702_51",0.29919189453125,0.08746337890625,0.14102294921875,0.003916015625,NA,NA,NA,0.00154052734375,NA,0.01498779296875,0.39590087890625,NA,NA,0.01771484375,NA,NA,NA,NA,NA,0.03826171875
"51.64257,-0.18702_231",0.21296630859375,0.051787109375,0.14405517578125,NA,NA,NA,NA,NA,NA,0.0027490234375,0.4042431640625,NA,NA,0.149189453125,NA,NA,NA,NA,NA,0.035009765625
"51.64114,-0.18619_51",0.30546630859375,0.0564794921875,0.1108154296875,NA,NA,NA,NA,NA,0.156201171875,0.01077392578125,0.27164306640625,NA,NA,0.0807763671875,NA,NA,NA,NA,NA,0.00784423828125
"51.64459,-0.18849_321",0.2674072265625,0.0841064453125,0.10947021484375,0.0035693359375,NA,0.00919677734375,NA,NA,NA,0.00349853515625,0.4011962890625,NA,NA,0.0801513671875,NA,NA,NA,NA,NA,0.04140380859375
"51.64488,-0.18879_51",0.302646484375,0.0682080078125,0.14205810546875,NA,NA,NA,NA,NA,NA,0.00928466796875,0.37321044921875,NA,NA,0.064833984375,NA,NA,NA,NA,NA,0.03975830078125
"51.64459,-0.18849_141",0.33804443359375,0.08203125,0.116748046875,0.005537109375,NA,NA,NA,NA,NA,0.00578369140625,0.3833447265625,NA,NA,0.0208642578125,NA,NA,NA,NA,NA,0.047646484375
"51.64488,-0.18879_141",0.26452880859375,0.0426025390625,NA,0.003955078125,0.028447265625,NA,NA,NA,0.13037109375,NA,0.31147216796875,0.00283203125,NA,0.15063720703125,NA,NA,NA,NA,NA,0.06515380859375
"51.64488,-0.18879_231",0.1351318359375,0.03030029296875,NA,NA,0.0878857421875,NA,NA,NA,0.33704345703125,NA,0.15224365234375,NA,0.00256103515625,0.22019775390625,NA,NA,NA,NA,NA,0.03463623046875
"51.64459,-0.18849_51",0.24292724609375,0.07857421875,0.15737548828125,NA,NA,NA,NA,NA,NA,0.00485107421875,0.376650390625,NA,NA,0.11310302734375,NA,NA,NA,NA,NA,0.0265185546875
"51.64544,-0.18941_51",0.33185302734375,0.09040771484375,0.1212646484375,0.002060546875,NA,0.00559326171875,NA,0.00260498046875,NA,0.0064697265625,0.3768603515625,NA,NA,0.0200634765625,NA,NA,NA,NA,NA,0.042822265625
"51.64544,-0.18941_321",0.41261474609375,0.02981689453125,0.085478515625,0.011279296875,NA,NA,NA,NA,NA,0.00810302734375,0.42018798828125,NA,NA,0.003623046875,NA,NA,NA,NA,NA,0.028896484375
"51.64544,-0.18941_141",0.39492431640625,0.04426025390625,0.0758056640625,NA,NA,NA,NA,NA,0.036728515625,0.002587890625,0.4025439453125,NA,NA,0.0319287109375,NA,NA,NA,NA,NA,0.011220703125
"51.64530,-0.18925_231",0.30848388671875,0.07930419921875,0.04715087890625,NA,NA,NA,NA,NA,0.29721435546875,0.04349853515625,0.20029296875,NA,NA,0.01288330078125,NA,NA,NA,0.0019775390625,NA,0.0091943359375
"51.64530,-0.18925_141",0.312333984375,0.0171435546875,NA,NA,NA,NA,NA,NA,0.339169921875,0.04433837890625,0.17975341796875,NA,NA,0.0759375,NA,NA,NA,NA,NA,0.0313232421875
"51.64544,-0.18941_231",0.42683349609375,NA,0.06333984375,NA,NA,NA,NA,NA,NA,0.00185546875,0.44254638671875,NA,NA,0.00813232421875,NA,NA,NA,NA,NA,0.05729248046875
"51.64125,-0.18811_162",0.3773486328125,0.0442333984375,0.08475830078125,0.00150390625,NA,NA,NA,NA,NA,NA,0.42576171875,NA,NA,0.00837646484375,NA,NA,NA,NA,NA,0.058017578125
"51.64050,-0.18723_269",0.32614501953125,NA,0.054482421875,0.00233154296875,NA,NA,NA,0.00173583984375,0.26693603515625,0.0968359375,0.2315185546875,NA,NA,0.00734619140625,NA,NA,NA,NA,NA,0.01266845703125
"51.64051,-0.18694_89",0.23770751953125,0.0133984375,0.08382080078125,0.003681640625,NA,NA,NA,NA,0.386171875,0.00727783203125,0.08384521484375,NA,NA,0.18278076171875,NA,NA,NA,NA,NA,0.00131591796875
"51.64051,-0.18694_269",0.27844482421875,NA,0.08165283203125,NA,NA,NA,NA,NA,0.14570556640625,0.06305419921875,0.32018310546875,NA,NA,0.09501953125,NA,NA,NA,NA,NA,0.01593994140625
"51.64051,-0.18694_359",0.25087890625,0.010791015625,0.09190185546875,NA,NA,NA,NA,NA,0.2682958984375,0.08656494140625,0.1844287109375,NA,NA,0.1026513671875,NA,NA,NA,NA,NA,0.0044873046875
"51.64051,-0.18694_179",0.0982080078125,NA,0.09918212890625,NA,NA,NA,NA,NA,0.36224365234375,0.0402783203125,0.106865234375,NA,NA,0.28590087890625,NA,NA,NA,NA,NA,0.00732177734375
"51.64050,-0.18723_359",0.31273193359375,NA,0.09587646484375,NA,NA,NA,NA,0.00333251953125,NA,0.122841796875,0.34362060546875,NA,NA,0.00328125,NA,NA,NA,NA,NA,0.1183154296875
"51.64050,-0.18723_89",0.27001953125,NA,0.082080078125,0.00425537109375,NA,0.0057763671875,NA,NA,NA,0.0288671875,0.38211181640625,NA,NA,0.12373779296875,NA,NA,NA,NA,NA,0.10315185546875
"51.64204,-0.18670_321",0.326220703125,0.09581787109375,0.11013671875,NA,NA,NA,NA,0.00235595703125,0.06748291015625,0.00460205078125,0.374150390625,NA,NA,0.01478515625,NA,NA,NA,NA,NA,0.0044482421875
"51.64204,-0.18670_51",0.2496533203125,NA,0.10906982421875,NA,NA,NA,NA,NA,NA,NA,0.35113037109375,NA,NA,0.16457275390625,NA,NA,NA,NA,NA,0.12557373046875
"51.64204,-0.18670_141",0.2234375,NA,0.09964111328125,NA,NA,NA,NA,NA,NA,0.0037939453125,0.40620849609375,NA,NA,0.18649169921875,NA,NA,NA,NA,NA,0.08042724609375
"51.64132,-0.18628_321",0.35126708984375,0.06644775390625,0.0561474609375,0.0024365234375,NA,NA,NA,0.00136474609375,0.25407958984375,0.03328369140625,NA,NA,NA,0.00990234375,NA,NA,NA,NA,NA,0.22507080078125
"51.64150,-0.18638_321",0.3389599609375,0.0804736328125,0.0575048828125,0.04930908203125,NA,NA,NA,NA,0.07095947265625,0.0035693359375,0.3898193359375,NA,NA,0.0044140625,NA,NA,NA,NA,NA,0.004990234375
"51.64204,-0.18670_231",0.24969970703125,0.10251220703125,0.13234619140625,NA,NA,NA,NA,NA,NA,0.00385986328125,0.3853564453125,NA,NA,0.06768798828125,NA,NA,NA,NA,NA,0.05853759765625
"51.64076,-0.18600_51",0.29878173828125,0.10375244140625,0.10890869140625,NA,NA,NA,NA,NA,0.41080810546875,0.00767333984375,NA,NA,NA,0.0332470703125,NA,NA,NA,NA,NA,0.03682861328125
"51.64076,-0.18600_321",0.33220703125,0.07057373046875,0.05633544921875,NA,0.04705078125,NA,NA,0.00162841796875,0.1978076171875,0.00749267578125,0.26882080078125,NA,NA,0.01666259765625,NA,NA,NA,NA,NA,0.0014208984375
"51.64059,-0.18589_231",0.35698974609375,0.0593994140625,0.05526611328125,0.00579833984375,NA,NA,NA,0.00213134765625,0.0895849609375,0.01869873046875,0.39968994140625,NA,NA,0.0076513671875,NA,NA,NA,NA,NA,0.0047900390625
"51.64059,-0.18589_141",0.3835009765625,0.03499267578125,0.0576904296875,0.00990478515625,NA,NA,NA,NA,NA,0.03184326171875,0.4157421875,NA,NA,0.0016357421875,NA,NA,NA,NA,NA,0.06468994140625
"51.64134,-0.18688_1",0.23733154296875,0.05291015625,0.16048095703125,NA,NA,NA,NA,NA,NA,0.0034130859375,0.37283447265625,NA,NA,0.14353515625,NA,NA,NA,NA,NA,0.02949462890625
"51.64054,-0.18835_184",0.2618896484375,0.015009765625,NA,NA,NA,NA,NA,NA,0.34363037109375,0.02747802734375,0.21116943359375,NA,0.00082275390625,0.1113134765625,NA,NA,NA,NA,NA,0.0286865234375
"51.64054,-0.18835_94",0.298837890625,0.0153076171875,0.0330517578125,NA,NA,NA,NA,NA,0.41359619140625,0.11166259765625,0.10061767578125,NA,NA,0.02327880859375,NA,NA,NA,NA,NA,0.0036474609375
"51.64134,-0.18688_271",0.24958740234375,0.01501220703125,0.1269775390625,NA,NA,NA,NA,NA,NA,0.0137841796875,0.4097900390625,NA,NA,0.17256103515625,NA,NA,NA,NA,NA,0.01228759765625
"51.64054,-0.18835_274",0.27545654296875,0.02288818359375,NA,NA,NA,0.0090869140625,NA,NA,0.18798828125,0.07692138671875,0.32935546875,NA,NA,0.07370849609375,NA,NA,NA,NA,NA,0.0245947265625
"51.64054,-0.18835_4",0.23908935546875,0.022421875,0.04142822265625,NA,NA,0.0171337890625,NA,NA,0.2185693359375,0.195068359375,NA,NA,NA,0.00283935546875,NA,NA,NA,NA,NA,0.26344970703125
"51.64065,-0.18917_107",0.29627685546875,0.006953125,0.0155859375,0.00970947265625,NA,NA,NA,NA,NA,0.15642578125,0.437900390625,NA,NA,0.00376220703125,NA,NA,NA,NA,NA,0.07338623046875
"51.64065,-0.18917_17",0.346962890625,0.03012451171875,0.04827392578125,0.007939453125,NA,0.00601318359375,NA,NA,0.31470458984375,0.0607470703125,0.1788623046875,NA,NA,0.00244140625,NA,NA,NA,NA,NA,0.0039306640625
"51.64065,-0.18917_197",0.18654052734375,NA,NA,0.00270263671875,NA,NA,NA,NA,0.17751220703125,0.26947509765625,0.35489990234375,NA,NA,NA,NA,NA,NA,NA,NA,0.00886962890625
"51.64053,-0.18639_177",0.17523681640625,0.021181640625,0.06852294921875,0.0049853515625,NA,NA,NA,NA,NA,0.06566162109375,0.37282958984375,NA,NA,0.16530517578125,NA,NA,NA,NA,NA,0.12627685546875
"51.64065,-0.18917_287",0.29879638671875,0.01556640625,NA,NA,NA,NA,NA,NA,0.38959228515625,0.1252783203125,0.14796142578125,NA,NA,NA,NA,NA,NA,NA,NA,0.02280517578125
"51.64053,-0.18639_87",0.3350537109375,NA,0.0856884765625,0.0044970703125,NA,NA,NA,NA,NA,0.081181640625,0.35760986328125,NA,NA,0.01216796875,NA,NA,NA,NA,NA,0.12380126953125
"51.64136,-0.18765_1",0.2367138671875,0.07398193359375,0.13110107421875,NA,NA,NA,NA,NA,NA,0.0072802734375,0.3818310546875,NA,NA,0.12492919921875,NA,NA,NA,NA,NA,0.04416259765625
"51.64138,-0.18739_271",0.27673828125,0.05048828125,0.0918359375,NA,NA,NA,NA,NA,0.220283203125,0.01037109375,NA,NA,NA,0.08614501953125,NA,NA,NA,NA,NA,0.26413818359375
"51.64138,-0.18739_181",0.18474365234375,0.04202392578125,0.1241259765625,0.002236328125,NA,0.00895263671875,NA,NA,NA,0.0112060546875,0.2624169921875,NA,NA,0.1579736328125,NA,NA,NA,NA,NA,0.20632080078125
"51.64137,-0.18713_91",0.34205810546875,0.06650634765625,0.12566162109375,NA,NA,0.01654541015625,NA,NA,NA,0.0048193359375,0.40318115234375,NA,NA,0.020810546875,NA,NA,NA,NA,NA,0.02041748046875
"51.64138,-0.18739_91",0.25997802734375,0.04344970703125,0.121005859375,0.0019384765625,NA,NA,NA,NA,NA,0.009228515625,0.4056005859375,NA,NA,0.112060546875,NA,NA,NA,NA,NA,0.04673828125
"51.64138,-0.18739_1",0.25889404296875,0.07068359375,0.129443359375,NA,0.0073974609375,0.00658447265625,NA,NA,NA,0.00490966796875,0.371083984375,NA,NA,0.08322509765625,NA,NA,NA,NA,NA,0.0677783203125
"51.64114,-0.18619_141",0.2947412109375,0.053173828125,0.09767333984375,0.00071533203125,NA,NA,NA,NA,0.17608642578125,0.00320556640625,0.29730224609375,NA,NA,0.07043701171875,NA,NA,NA,NA,NA,0.0066650390625
"51.64050,-0.18723_179",0.25802734375,0.00896240234375,0.092216796875,0.0043408203125,NA,NA,NA,NA,0.1815673828125,0.06440185546875,0.2875439453125,NA,NA,0.094833984375,NA,NA,NA,NA,NA,0.00810546875
"51.64132,-0.18628_51",0.295869140625,0.04689453125,0.0919970703125,NA,NA,NA,NA,NA,NA,0.0265185546875,0.259501953125,NA,NA,0.08299072265625,NA,NA,NA,NA,NA,0.19622802734375
