,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.57023,0.25768_90",0.35808349609375,0.00724609375,0.0438330078125,0.005927734375,NA,0.01391845703125,NA,NA,NA,0.0820654296875,0.437177734375,NA,NA,0.0056787109375,NA,NA,NA,NA,NA,0.0460693359375
"51.57023,0.25768_180",0.12513916015625,0.25384765625,0.0909326171875,0.00388916015625,NA,NA,NA,NA,NA,0.03201904296875,0.41502197265625,NA,NA,0.01076416015625,NA,NA,NA,0.0020361328125,NA,0.06635009765625
"51.57050,0.25832_116",0.22211181640625,NA,0.09003173828125,NA,NA,NA,NA,NA,NA,0.00261962890625,0.41481201171875,NA,NA,0.16695068359375,NA,NA,NA,NA,NA,0.10347412109375
"51.57023,0.25768_0",0.30114501953125,0.01855712890625,NA,NA,NA,NA,NA,NA,0.14123779296875,0.12736083984375,0.39586181640625,NA,NA,NA,NA,NA,NA,0.002099609375,NA,0.01373779296875
"51.57050,0.25832_26",0.2409716796875,0.01876220703125,0.0704150390625,NA,0.00534912109375,NA,NA,NA,NA,0.0017529296875,0.40354736328125,NA,NA,0.17116943359375,NA,NA,NA,NA,NA,0.0880322265625
"51.57023,0.25768_270",0.35463134765625,0.02676513671875,0.02529541015625,0.000380859375,NA,NA,NA,NA,0.1155224609375,0.04858154296875,0.42113037109375,NA,NA,0.00093994140625,NA,NA,NA,NA,NA,0.0067529296875
"51.57022,0.25799_270",0.2762158203125,0.103408203125,0.0521337890625,0.0095849609375,NA,NA,NA,NA,NA,0.06185546875,0.43587890625,NA,NA,0.0076123046875,NA,NA,NA,NA,NA,0.053310546875
"51.56751,0.25525_88",0.29784423828125,0.061845703125,0.0653662109375,0.02947509765625,NA,NA,NA,NA,0.0971875,0.07751953125,0.36530029296875,NA,NA,NA,NA,NA,NA,NA,NA,0.00546142578125
"51.56754,0.25499_358",0.3100341796875,0.060087890625,0.06131103515625,NA,NA,NA,NA,0.00162353515625,0.168564453125,0.0469775390625,0.3431396484375,NA,NA,0.00505859375,NA,NA,NA,NA,0.00201171875,0.00119140625
"51.56754,0.25499_268",0.2397021484375,0.03132080078125,0.018466796875,NA,0.06690185546875,NA,NA,NA,0.20323974609375,0.097392578125,0.33535400390625,NA,NA,0.00401123046875,NA,NA,NA,NA,NA,0.00361083984375
"51.56754,0.25499_88",0.36810546875,NA,NA,0.0137158203125,0.01839599609375,NA,NA,NA,0.1168359375,0.04935546875,0.35423583984375,NA,NA,NA,NA,NA,NA,NA,NA,0.07935546875
"51.56751,0.25525_178",0.08885986328125,0.05839111328125,0.05811767578125,0.0943798828125,NA,NA,NA,NA,NA,0.21281494140625,0.394599609375,NA,NA,NA,NA,NA,NA,NA,NA,0.0928369140625
"51.56751,0.25525_268",0.234375,0.04064208984375,0.0346337890625,0.046875,0.012255859375,0.00666259765625,NA,NA,NA,0.10611083984375,0.431865234375,NA,NA,NA,NA,NA,NA,NA,NA,0.08657958984375
"51.56751,0.25525_358",0.31365234375,NA,0.04703857421875,NA,NA,NA,NA,NA,NA,0.06431396484375,0.39879638671875,NA,NA,0.00070556640625,NA,NA,NA,NA,NA,0.1754931640625
"51.57827,0.25388_94",0.38019287109375,NA,NA,NA,NA,0.00975341796875,NA,NA,0.1855908203125,0.09596923828125,0.32708984375,NA,NA,NA,NA,NA,NA,NA,NA,0.00140380859375
"51.57827,0.25388_4",0.4221337890625,NA,NA,NA,NA,NA,NA,NA,NA,0.0334228515625,0.4534716796875,NA,NA,0.02806884765625,NA,NA,NA,NA,NA,0.06290283203125
"51.57827,0.25388_274",0.33428466796875,NA,NA,NA,NA,NA,NA,NA,0.183251953125,0.06526123046875,0.3739306640625,NA,NA,0.03634033203125,NA,NA,NA,NA,0.00573974609375,0.00119140625
"51.57829,0.25359_274",0.38980712890625,NA,NA,NA,NA,NA,NA,NA,0.2119970703125,0.07570556640625,0.31722900390625,NA,NA,0.0031494140625,NA,NA,NA,NA,NA,0.00211181640625
"51.57827,0.25388_184",0.25923095703125,0.00685546875,0.1560791015625,0.01840087890625,NA,0.01377685546875,NA,NA,0.3698974609375,0.17368896484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020703125
"51.57829,0.25359_4",0.43656005859375,NA,NA,NA,NA,NA,NA,0.0014794921875,NA,NA,0.45597412109375,NA,NA,0.00033203125,NA,NA,NA,NA,NA,0.105654296875
"51.57824,0.25417_94",0.3883935546875,NA,NA,NA,NA,NA,NA,NA,0.276845703125,0.0416552734375,NA,NA,NA,0.01554931640625,NA,NA,NA,NA,NA,0.27755615234375
"51.56801,0.25635_208",0.374443359375,0.0162109375,NA,NA,0.06923828125,NA,NA,NA,0.35135986328125,0.00670654296875,0.177060546875,NA,NA,0.00092529296875,NA,NA,NA,NA,NA,0.00405517578125
"51.56921,0.25671_187",0.371591796875,0.02580810546875,NA,0.0024072265625,0.0583642578125,NA,NA,NA,0.25291259765625,NA,0.28299560546875,NA,NA,NA,NA,NA,NA,NA,NA,0.00592041015625
"51.57831,0.25331_4",0.42344970703125,NA,NA,NA,NA,NA,NA,0.00297119140625,NA,0.0588525390625,0.45746337890625,NA,NA,0.0010546875,NA,NA,NA,NA,NA,0.05620849609375
"51.57021,0.25856_4",0.31706298828125,0.0499853515625,0.0890771484375,0.009482421875,NA,NA,NA,NA,NA,0.08308837890625,0.41137451171875,NA,NA,0.00858642578125,NA,NA,NA,NA,NA,0.0313427734375
"51.57021,0.25856_94",0.34881103515625,NA,0.09643798828125,0.0091748046875,NA,NA,NA,NA,NA,0.0498828125,0.4173583984375,NA,NA,0.0017578125,0.01781982421875,NA,NA,NA,NA,0.05875732421875
"51.57021,0.25856_184",0.36072509765625,0.0483837890625,0.0895361328125,0.00281982421875,NA,NA,NA,0.00246337890625,NA,0.00718994140625,0.42637939453125,NA,NA,0.00768310546875,NA,NA,NA,NA,NA,0.0548193359375
"51.56829,0.25659_27",0.38157470703125,0.02833251953125,NA,NA,0.042705078125,NA,NA,NA,0.38711181640625,NA,0.15674560546875,NA,NA,NA,NA,NA,NA,NA,NA,0.0035302734375
"51.57022,0.25799_90",0.28085693359375,0.07484130859375,0.0492138671875,0.0155712890625,NA,NA,NA,NA,NA,0.07978759765625,0.41036865234375,NA,NA,0.00799560546875,NA,NA,NA,NA,NA,0.08136474609375
"51.57003,0.25988_198",0.34955078125,0.05322021484375,0.09646728515625,0.00656005859375,NA,NA,NA,NA,0.19177001953125,0.039052734375,0.2432568359375,NA,NA,0.01297607421875,NA,NA,NA,NA,NA,0.00714599609375
"51.57824,0.25417_184",0.297412109375,NA,NA,NA,NA,NA,NA,NA,0.5989697265625,0.055234375,0.04601318359375,NA,NA,NA,NA,NA,NA,NA,NA,0.00237060546875
"51.57838,0.25216_4",0.4043310546875,NA,NA,NA,NA,NA,NA,0.00165283203125,NA,0.08231689453125,0.46238525390625,NA,NA,NA,NA,NA,NA,NA,NA,0.04931396484375
"51.56996,0.26014_18",0.13651611328125,0.061083984375,0.1352392578125,0.022275390625,NA,NA,NA,NA,NA,0.18333251953125,0.3930615234375,NA,NA,0.02100830078125,NA,NA,NA,NA,NA,0.04748291015625
"51.57832,0.25302_184",0.30039794921875,0.06251708984375,NA,NA,NA,NA,NA,NA,0.29357177734375,0.0860888671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25742431640625
"51.56747,0.25552_88",0.34588134765625,NA,0.12547119140625,NA,NA,NA,NA,NA,NA,0.056162109375,0.239130859375,NA,NA,NA,NA,NA,NA,NA,NA,0.2333544921875
"51.56921,0.25671_277",0.32040283203125,NA,NA,NA,0.1326171875,NA,NA,NA,0.12887451171875,NA,0.3869775390625,NA,NA,NA,NA,NA,NA,NA,NA,0.0311279296875
"51.57021,0.25856_274",0.42134033203125,NA,0.02763427734375,0.014111328125,NA,NA,NA,NA,NA,0.0065478515625,0.44399658203125,NA,NA,0.009873046875,NA,NA,NA,NA,NA,0.07649658203125
"51.57736,0.25596_162",0.36578857421875,NA,NA,NA,NA,0.00820556640625,NA,NA,0.0563037109375,0.0982373046875,0.4665625,NA,NA,0.00082763671875,NA,NA,NA,NA,NA,0.00407470703125
"51.56985,0.26040_288",0.3273291015625,0.01878173828125,0.05573974609375,0.00637939453125,NA,NA,NA,NA,0.29454345703125,0.075458984375,NA,NA,NA,0.0059423828125,NA,NA,NA,NA,NA,0.2158251953125
"51.56985,0.26040_108",0.3110302734375,NA,0.082509765625,0.00855712890625,NA,NA,NA,NA,NA,0.05840087890625,0.43244873046875,NA,NA,0.02614990234375,NA,NA,NA,NA,NA,0.0809033203125
"51.56985,0.26040_198",0.35204345703125,NA,0.08428955078125,0.00438720703125,NA,NA,NA,NA,0.2835546875,0.034931640625,0.17411376953125,NA,NA,0.03795654296875,NA,NA,NA,NA,NA,0.02872314453125
"51.56985,0.26040_18",0.16001708984375,NA,0.101455078125,0.0086181640625,NA,NA,NA,NA,0.16304443359375,0.1266845703125,0.40223388671875,NA,NA,0.0126904296875,NA,NA,NA,NA,NA,0.02525634765625
"51.57736,0.25596_72",0.29703369140625,NA,NA,NA,NA,NA,NA,NA,0.04173095703125,0.1994677734375,0.448349609375,NA,NA,0.0009375,NA,NA,NA,NA,NA,0.01248046875
"51.57736,0.25596_252",0.35224853515625,NA,NA,NA,NA,0.0066650390625,NA,0.00576416015625,0.08423095703125,0.0746630859375,0.47563232421875,NA,NA,NA,NA,NA,NA,NA,NA,0.0007958984375
