,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.52350,-0.40167_141",0.23750732421875,0.0308251953125,0.1097509765625,NA,NA,0.01219970703125,NA,NA,NA,0.00373291015625,0.4146044921875,0.00253173828125,NA,0.17830078125,NA,NA,NA,NA,NA,0.010546875
"51.52350,-0.40167_51",0.28857666015625,0.025849609375,0.0947900390625,NA,NA,NA,NA,NA,NA,0.00639892578125,0.42935302734375,NA,NA,0.1219287109375,NA,NA,NA,NA,NA,0.03310302734375
"51.52350,-0.40167_321",0.2847509765625,0.129013671875,0.124609375,NA,NA,NA,NA,0.0018994140625,NA,0.00210205078125,0.416552734375,NA,NA,0.00998291015625,NA,NA,NA,NA,NA,0.0310888671875
"51.52350,-0.40167_231",0.30930908203125,0.0946044921875,0.13005615234375,0.0030859375,NA,NA,NA,NA,NA,NA,0.418251953125,NA,NA,0.03968017578125,NA,NA,NA,NA,NA,0.00501220703125
"51.52365,-0.40150_51",0.2800634765625,NA,0.1140625,0.00542236328125,NA,NA,NA,NA,NA,NA,0.41159912109375,NA,NA,0.12278076171875,NA,NA,NA,NA,NA,0.06607177734375
"51.52334,-0.40184_141",0.29750732421875,0.10758056640625,0.1366748046875,0.00664794921875,NA,NA,NA,NA,NA,NA,0.41703857421875,0.0006298828125,NA,0.02304931640625,NA,NA,NA,NA,NA,0.01087158203125
"51.52381,-0.40141_51",0.32730224609375,0.09300537109375,0.09664794921875,0.0057373046875,NA,NA,NA,0.0016357421875,NA,0.003173828125,0.4000634765625,NA,NA,0.01358154296875,NA,NA,NA,NA,NA,0.0588525390625
"51.52365,-0.40150_141",0.232158203125,0.09384765625,0.14277587890625,0.00547607421875,NA,NA,NA,NA,NA,NA,0.4071533203125,0.00152587890625,NA,0.09684326171875,NA,NA,NA,NA,NA,0.0202197265625
"51.52365,-0.40150_231",0.3573876953125,NA,0.06699951171875,NA,NA,NA,NA,NA,NA,NA,0.43619140625,NA,NA,0.015341796875,NA,NA,NA,NA,NA,0.12407958984375
"51.52365,-0.40150_321",0.283701171875,NA,0.0605859375,0.00392822265625,NA,0.006044921875,NA,NA,NA,NA,0.4276953125,0.00088134765625,NA,0.19385986328125,NA,NA,NA,NA,NA,0.02330322265625
"51.52381,-0.40141_321",0.344306640625,0.024287109375,0.11020751953125,0.037353515625,NA,NA,NA,NA,NA,NA,0.40293212890625,NA,NA,0.04593505859375,NA,NA,NA,NA,NA,0.03497802734375
"51.52334,-0.40184_231",0.31982421875,0.07356689453125,0.095576171875,0.0195703125,0.00763916015625,NA,NA,NA,NA,NA,0.43154052734375,NA,NA,0.032890625,NA,NA,NA,NA,NA,0.01939208984375
"51.52151,-0.40486_60",0.30994873046875,0.0791748046875,0.0856201171875,NA,0.02514892578125,NA,NA,NA,NA,NA,0.38444091796875,0.0850390625,NA,0.01472900390625,NA,NA,NA,NA,NA,0.0158984375
"51.52334,-0.40184_51",0.32946044921875,0.0860986328125,0.13133544921875,0.00304443359375,NA,NA,NA,NA,NA,0.0161767578125,0.416591796875,NA,NA,0.0023095703125,NA,NA,NA,NA,NA,0.01498291015625
"51.52370,-0.40027_199",0.2578515625,0.11133544921875,0.31582275390625,0.01235595703125,NA,NA,NA,NA,0.03466552734375,NA,0.26318115234375,NA,NA,0.0002783203125,NA,NA,NA,NA,NA,0.00450927734375
"51.52370,-0.40027_109",0.30307861328125,0.03074951171875,0.1888330078125,NA,NA,NA,NA,0.00203369140625,0.06169921875,0.0226611328125,0.31981201171875,NA,NA,0.0649365234375,NA,NA,NA,NA,NA,0.0061962890625
"51.52381,-0.40056_19",0.39848876953125,NA,NA,0.005107421875,NA,NA,NA,NA,0.2064599609375,0.0306689453125,NA,NA,NA,0.00373046875,NA,NA,NA,NA,0.00112548828125,0.3544189453125
"51.52381,-0.40056_289",0.3570947265625,NA,NA,NA,0.01440673828125,NA,NA,NA,0.29367431640625,0.0329150390625,NA,NA,NA,0.01829345703125,NA,NA,NA,NA,NA,0.28361572265625
