,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.46699,-0.34371_352",0.33731689453125,0.04501953125,0.089501953125,0.01623779296875,NA,NA,NA,NA,NA,0.02728271484375,0.41549560546875,NA,NA,0.02438232421875,NA,NA,NA,NA,NA,0.04476318359375
"51.46699,-0.34371_262",0.3118896484375,0.01197998046875,0.08892578125,0.01309326171875,NA,NA,NA,NA,NA,0.00966552734375,0.4032763671875,NA,NA,0.12384765625,NA,NA,NA,0.00275634765625,NA,0.0345654296875
"51.46699,-0.34371_172",0.31888916015625,0.0132080078125,0.13728759765625,0.01912109375,NA,NA,NA,NA,NA,0.02429443359375,0.3928564453125,NA,NA,0.07627685546875,NA,NA,NA,NA,NA,0.01806640625
"51.46699,-0.34371_82",0.344912109375,0.05482421875,0.0907861328125,0.01650390625,NA,NA,NA,NA,NA,0.0228271484375,0.43020751953125,NA,NA,0.00158447265625,NA,NA,NA,NA,NA,0.0383544921875
"51.46705,-0.34398_352",0.22300537109375,0.13015625,0.03941650390625,0.01545166015625,0.007236328125,NA,NA,0.00156982421875,0.09299072265625,0.08308349609375,0.4044775390625,NA,NA,NA,NA,NA,NA,NA,NA,0.0026123046875
"51.46705,-0.34398_262",0.3989306640625,0.02498291015625,0.039326171875,NA,NA,NA,NA,NA,NA,0.05107666015625,0.43669189453125,NA,NA,NA,NA,NA,NA,NA,NA,0.04899169921875
"51.46705,-0.34398_172",0.40107177734375,NA,0.06853759765625,0.01852783203125,NA,NA,NA,NA,NA,0.03451416015625,0.43454833984375,NA,NA,0.0145751953125,NA,NA,NA,NA,NA,0.02822509765625
"51.46705,-0.34398_82",0.2520068359375,0.093056640625,0.0581494140625,0.0157861328125,NA,NA,NA,0.0015478515625,NA,0.0655078125,0.41738037109375,NA,NA,0.01751220703125,NA,NA,NA,NA,NA,0.079052734375
"51.46680,-0.34235_172",0.188564453125,0.15481689453125,0.102119140625,0.01197265625,NA,0.02213623046875,NA,NA,0.209521484375,0.0190771484375,0.288642578125,NA,NA,NA,NA,NA,NA,NA,NA,0.0031494140625
"51.46680,-0.34235_262",0.32048095703125,0.07675537109375,0.08061767578125,0.012744140625,NA,NA,NA,NA,0.1707763671875,NA,0.32281005859375,NA,NA,0.0080078125,NA,NA,NA,NA,NA,0.0078076171875
"51.46680,-0.34235_352",0.40999267578125,0.0210302734375,0.11043701171875,0.00816162109375,NA,NA,NA,NA,NA,NA,0.41704345703125,NA,NA,0.01438720703125,NA,NA,NA,NA,NA,0.01894775390625
"51.46680,-0.34235_82",0.394990234375,0.01013671875,0.08150634765625,0.002373046875,NA,0.03342529296875,NA,NA,0.05701904296875,NA,0.41208740234375,NA,NA,0.0055126953125,NA,NA,NA,NA,NA,0.00294921875
"51.46927,-0.34724_60",0.24883056640625,NA,NA,NA,0.064716796875,NA,NA,NA,0.20328125,NA,0.41571044921875,NA,NA,0.06186767578125,NA,NA,NA,NA,NA,0.00559326171875
