LSOA11CD,50th percentile (£),Percentage of occupied addresses with income information (%)
E01002764,27906,97.3
E01002768,31681,98.2
E01002804,28624,98.5
E01002807,28768,97.9
E01002817,38847,91.7
E01002820,39788,84.0
E01002830,28315,97.5
E01002833,43524,95.5
E01002835,48852,85.3
E01002840,26018,97.5
E01002843,27301,97.4
E01002853,27569,96.0
E01002866,34924,94.9
E01002870,27289,96.5
E01002871,51135,94.3
E01002873,36912,95.5
E01002879,27346,98.1
E01002887,45173,85.3
E01002891,41222,82.19999999999999
E01002893,33833,95.9
E01002915,32501,99.8
E01002930,29814,97.3
E01002946,32122,98.5
E01002947,32455,98.9
E01002949,30675,99.6
E01002951,38255,98.4
E01002964,28212,94.8
E01002981,31584,98.1
E01002990,39803,97.7
E01002993,37408,98.2
E01003053,41233,98.9
E01003054,50646,97.8
E01003069,27408,99.3
E01003073,30901,98.2
E01003076,32926,96.9
E01003128,25530,98.2
E01003129,34397,97.6
E01003157,46691,99.4
E01003177,33452,98.5
E01003196,25588,98.2
E01003199,38067,98.0
E01003204,32261,97.8
E01003219,30144,99.0
E01003220,31080,97.4
E01003245,23334,98.5
E01003271,33797,98.2
E01003302,25251,98.2
E01003305,25522,98.2
E01003308,31057,98.6
E01003314,33562,99.0
E01003323,29923,98.5
E01003343,31268,98.1
E01003346,26596,99.7
E01003355,40190,97.2
E01003357,24035,98.3
E01003362,35380,99.1
E01003367,34869,97.7
E01003372,25870,98.4
E01003378,25710,98.5
E01003380,41750,98.8
E01003386,25308,98.6
E01003394,27097,98.4
E01003398,27116,98.2
E01003401,44210,95.6
E01003411,26552,98.4
E01003413,27052,98.2
E01003419,31657,98.9
E01003434,27080,98.9
E01003436,24400,98.9
E01003451,30741,99.1
E01003453,23823,98.5
E01003465,57940,94.5
E01003466,36982,99.0
E01003468,37281,99.4
E01003479,25948,97.9
E01003488,22338,99.0
E01003489,20013,97.6
E01003491,22749,97.3
E01003501,25236,98.7
E01003514,25368,98.8
E01003524,21402,98.0
E01003532,25937,95.3
E01003537,23226,98.1
E01003540,23210,99.3
E01003550,25492,98.8
E01003551,25748,96.9
E01003557,24145,98.2
E01003559,27963,97.8
E01003561,21840,96.2
E01003567,20559,96.5
E01003575,20502,96.7
E01003619,25801,96.7
E01003628,22692,98.3
E01003644,26958,99.3
E01003647,27717,98.0
E01003654,29686,98.9
E01003655,35409,98.8
E01003663,26022,99.3
E01003678,30905,98.3
E01003681,27014,98.2
E01003702,28408,98.0
E01003704,26220,98.0
E01003705,26867,98.5
E01003724,28717,99.3
E01003729,21017,96.9
E01003731,22038,97.9
E01003734,22114,96.3
E01003738,25523,98.5
E01003743,22644,97.3
E01003755,23928,98.4
E01003756,25045,99.1
E01003759,38231,98.6
E01003763,29971,97.9
E01003766,25502,97.8
E01003767,22263,96.2
E01003776,28270,98.1
E01003778,38127,97.3
E01003782,22636,96.5
E01003789,40166,98.5
E01003795,39265,98.6
E01003815,32924,98.7
E01003818,34074,97.8
E01003821,46647,95.5
E01003822,45326,99.3
E01003826,29433,98.8
E01003829,28707,98.7
E01003840,28343,99.3
E01003855,31322,98.6
E01003861,45397,97.8
E01003863,35193,99.0
E01003870,49113,98.1
E01003880,47721,98.5
E01003886,44590,98.7
E01003891,43473,98.1
E01003898,39037,98.5
E01003914,30514,96.8
E01003922,26140,98.2
E01003932,27109,97.4
E01003941,33133,96.8
E01003958,34812,96.3
E01003970,23966,98.6
E01003973,26281,97.4
E01003976,27697,96.8
E01003981,27856,96.4
E01003989,23824,97.8
E01004002,35236,99.3
E01004008,24739,97.8
E01004012,25912,98.3
E01004013,26038,98.2
E01004024,25019,97.6
E01004031,29520,96.3
E01004033,29135,94.6
E01004035,27108,98.5
E01004039,27343,97.2
E01004053,45993,97.1
E01004068,27029,98.3
E01004073,46127,99.1
E01004083,22702,98.3
E01004098,37202,98.6
E01004111,32249,99.4
E01004112,38605,99.3
E01004135,31025,98.6
E01004141,24295,99.0
E01004157,41090,99.1
E01004172,26151,98.2
E01004194,29124,99.3
E01004204,24589,98.0
E01004211,29975,96.7
E01004230,27518,97.8
E01004242,22948,97.2
E01004243,22209,98.3
E01004246,25121,97.0
E01004249,21824,98.0
E01004251,22425,96.5
E01004275,33177,98.2
E01004281,39924,96.9
E01004288,21088,98.5
E01004321,24347,96.1
E01004332,26525,98.5
E01004341,25655,97.5
E01004342,26417,98.2
E01004347,31459,98.9
E01004352,36481,98.2
E01004364,24430,98.0
E01004366,30903,98.1
E01004397,28274,97.3
E01004398,22903,99.9
E01004405,27063,99.1
E01004435,26074,97.7
E01004438,33072,98.0
E01004442,32970,98.4
E01004444,22577,97.8
E01004448,26549,98.9
E01004449,23685,99.4
E01004492,36462,99.4
E01004494,35755,98.5
E01004502,46686,97.6
E01004506,49127,96.4
E01004522,29914,99.1
E01004544,53354,98.7
E01004554,58844,97.5
E01004584,25038,98.6
E01004585,45007,98.7
E01004599,48964,97.5
E01004604,50700,97.9
E01004627,44408,97.3
E01004636,27859,97.0
E01004643,30298,97.8
E01004654,40441,94.8
E01004665,25121,99.0
E01004717,46286,88.8
E01004718,29665,97.9
E01004754,24711,97.7
E01004756,33724,96.3
E01032577,32350,99.8
E01032579,26027,97.1
E01032639,29894,91.7
E01032646,38817,96.5
E01032719,27000,92.4
E01032741,27317,97.4
E01032744,24491,97.6
E01032767,46011,86.4
E01032783,33351,96.9
E01032784,34655,97.9
E01033081,30837,97.3
E01033093,46618,95.9
E01033325,41097,95.6
E01033571,40964,97.8
E01033573,26169,91.7
E01033588,21713,99.0
E01033602,23722,98.0
E01033603,25774,94.1
E01033604,26182,95.6
E01033706,32971,90.6
E01033726,30680,96.8
E01033730,38833,97.6
E01033746,37765,99.0
