LSOA11CD,50th percentile (£),Percentage of occupied addresses with income information (%)
E01000006,23022,97.8
E01000010,23465,96.5
E01000017,24246,98.3
E01000027,23718,99.0
E01000028,23456,98.4
E01000029,26496,99.4
E01000031,25736,99.4
E01000032,24916,98.6
E01000038,29599,99.4
E01000044,23619,98.0
E01000058,23789,98.8
E01000063,24508,98.7
E01000073,23994,99.3
E01000077,22517,98.7
E01000080,23321,98.7
E01000085,23059,98.5
E01000098,23152,98.2
E01000103,24251,99.1
E01000120,29964,98.5
E01000124,25460,98.0
E01000132,24369,99.6
E01000134,25117,98.5
E01000136,38565,94.7
E01000139,32846,97.4
E01000140,33907,96.1
E01000145,25802,96.3
E01000147,25346,98.8
E01000158,30634,99.1
E01000161,27692,97.0
E01000162,28027,98.4
E01000163,25371,97.3
E01000164,26386,97.9
E01000169,31625,97.9
E01000183,35711,98.1
E01000193,26711,97.6
E01000197,33697,97.8
E01000206,46188,93.7
E01000207,37925,97.5
E01000212,38724,97.3
E01000216,30830,97.8
E01000217,26392,97.5
E01000220,25679,98.2
E01000222,25765,96.5
E01000223,24484,98.3
E01000224,25548,97.5
E01000234,33817,98.6
E01000239,26136,95.2
E01000241,30167,96.1
E01000242,27892,96.9
E01000261,38336,97.7
E01000266,36698,98.9
E01000269,32387,99.0
E01000270,34566,99.5
E01000280,44444,98.6
E01000287,29144,99.5
E01000288,31556,99.2
E01000292,33872,99.3
E01000295,36881,97.7
E01000298,33741,97.4
E01000304,34111,98.4
E01000316,31060,97.0
E01000324,30166,99.3
E01000333,26102,99.2
E01000344,32539,99.7
E01000346,30148,99.6
E01000350,35852,99.1
E01000352,30344,98.6
E01000358,33656,99.6
E01000359,33821,99.4
E01000365,30654,99.1
E01000366,33259,99.1
E01000371,31326,99.7
E01000391,30498,99.2
E01000395,35568,99.1
E01000407,31860,98.2
E01000408,26532,98.7
E01000413,28877,99.5
E01000415,35852,99.8
E01000427,31485,98.6
E01000429,23395,98.5
E01000430,28484,98.9
E01000432,28837,98.7
E01000433,24941,98.6
E01000435,26808,99.1
E01000449,41089,99.2
E01000459,31129,99.3
E01000460,41538,99.1
E01000465,24702,98.1
E01000468,23955,96.2
E01000474,25770,98.7
E01000479,27922,97.6
E01000480,26432,97.9
E01000482,26399,97.7
E01000483,23856,97.7
E01000486,28403,97.5
E01000490,34145,95.7
E01000493,31593,97.9
E01000495,28819,96.7
E01000497,28928,96.8
E01000499,23607,98.1
E01000502,24807,98.2
E01000503,27344,98.3
E01000508,25166,98.6
E01000511,25107,98.0
E01000516,26299,96.5
E01000517,28808,98.6
E01000518,25193,98.1
E01000525,27405,97.3
E01000535,28976,98.2
E01000543,28381,99.1
E01000551,24671,97.8
E01000556,28894,96.9
E01000560,35811,96.9
E01000562,32369,98.5
E01000563,31675,98.5
E01000564,24108,96.9
E01000574,27902,99.4
E01000577,23103,97.8
E01000589,24446,98.1
E01000601,23475,99.3
E01000607,26451,98.3
E01000620,28067,98.7
E01000621,27333,98.8
E01000627,24347,98.0
E01000630,26015,98.4
E01000638,25895,97.1
E01000640,25209,96.8
E01000644,30646,97.5
E01000646,35828,99.0
E01000648,36531,99.1
E01000649,39632,99.4
E01000651,38014,98.2
E01000662,29383,98.8
E01000669,32849,99.0
E01000670,40369,96.7
E01000673,37919,98.9
E01000678,36936,99.5
E01000684,41216,99.5
E01000695,40879,99.0
E01000698,37301,99.2
E01000708,35477,99.0
E01000712,40013,98.3
E01000725,28634,98.9
E01000752,32740,99.2
E01000755,37004,99.5
E01000782,25821,98.5
E01000792,28913,99.8
E01000794,38002,99.7
E01000802,31619,98.7
E01000806,25234,98.5
E01000813,39307,99.5
E01000814,47297,99.8
E01000820,34205,99.1
E01000823,36651,98.9
E01000824,34167,98.5
E01000826,46847,99.2
E01000829,35543,98.1
E01000830,45760,97.9
E01000832,36320,99.8
E01000838,39864,99.5
E01000851,32721,74.1
E01000854,25446,76.9
E01000858,26556,97.5
E01000859,43912,95.3
E01000864,33477,97.6
E01000866,29606,81.89999999999999
E01000880,45788,92.8
E01000891,25376,97.2
E01000896,53318,95.1
E01000904,27570,95.6
E01000909,39123,98.6
E01000910,41183,97.1
E01000912,28818,98.7
E01000914,30128,86.9
E01000915,23673,94.3
E01000916,29321,90.3
E01000923,40500,97.6
E01000926,28442,96.1
E01000930,26601,96.5
E01000934,26585,97.3
E01000937,24278,60.3
E01000946,28778,91.6
E01000949,29953,93.5
E01000950,20561,92.1
E01000951,20632,92.8
E01000956,22833,91.4
E01000958,24979,79.10000000000001
E01000960,33263,93.6
E01000966,59436,96.2
E01000970,47001,94.9
E01000971,46250,96.7
E01000972,28898,96.5
E01000977,26568,98.6
E01000979,29667,98.1
E01000983,32695,98.9
E01000992,26604,99.0
E01000993,31506,98.8
E01000995,24402,96.1
E01000998,27128,96.9
E01000999,27533,98.5
E01001003,26751,98.3
E01001007,23628,98.1
E01001008,24903,97.4
E01001015,30966,99.2
E01001017,37601,99.4
E01001018,34265,99.7
E01001022,32051,99.7
E01001026,30899,99.5
E01001039,40064,98.9
E01001042,25303,97.0
E01001044,35877,98.1
E01001053,23546,99.2
E01001054,23041,99.6
E01001056,20147,98.8
E01001061,29192,98.7
E01001064,33781,99.2
E01001067,37387,98.9
E01001071,32753,99.3
E01001072,42291,99.5
E01001074,29931,97.9
E01001076,24962,98.4
E01001082,24962,99.5
E01001083,31595,99.5
E01001091,29160,97.1
E01001110,24361,96.9
E01001117,23562,96.8
E01001133,32397,98.9
E01001137,31518,98.5
E01001138,33149,97.8
E01001146,26126,98.8
E01001154,25470,97.0
E01001157,27797,98.7
E01001162,28418,98.9
E01001163,30178,98.8
E01001171,27148,98.0
E01001172,21324,98.5
E01001175,24182,96.4
E01001180,23260,97.6
E01001181,21876,97.0
E01001185,28905,97.8
E01001191,25488,97.5
E01001193,26418,98.0
E01001194,28750,98.5
E01001203,28800,97.9
E01001204,35584,98.9
E01001208,39788,98.1
E01001212,37426,98.2
E01001220,21966,99.3
E01001231,36255,97.1
E01001233,31938,98.9
E01001236,36617,97.9
E01001238,27272,82.3
E01001250,28372,98.3
E01001254,30880,99.2
E01001261,26277,98.1
E01001266,27911,98.3
E01001267,25230,98.1
E01001269,27754,98.3
E01001274,34670,92.5
E01001277,28216,96.4
E01001278,26125,96.8
E01001279,43756,99.1
E01001281,43570,98.9
E01001285,27247,99.3
E01001291,26413,99.1
E01001296,28144,98.2
E01001311,27316,98.6
E01001315,28794,98.5
E01001331,22124,98.5
E01001337,27070,98.1
E01001339,25709,98.6
E01001345,26658,99.0
E01001347,27043,98.0
E01001352,35030,96.4
E01001353,29193,97.4
E01001354,35259,97.4
E01001359,23539,97.5
E01001382,46730,99.0
E01001383,39239,99.1
E01001386,42532,98.9
E01001387,42807,96.9
E01001388,29840,98.3
E01001391,27141,97.8
E01001401,29586,98.9
E01001402,32615,99.2
E01001404,29217,98.9
E01001420,26300,98.3
E01001422,37872,95.8
E01001430,21432,98.9
E01001434,24395,98.4
E01001445,25682,98.7
E01001446,25278,99.2
E01001449,25209,99.2
E01001462,24214,97.5
E01001463,26048,99.1
E01001469,29237,99.0
E01001472,33670,98.2
E01001474,36746,98.9
E01001489,23842,98.4
