LSOA11CD,sum,rent,own,renter-occupied(%),unoccupied-occupied(%)
E01000842,701,403,298,57.48930099857347,11.265822784810126
E01000843,644,376,268,58.38509316770186,24.501758499413835
E01000844,822,519,303,63.138686131386855,12.460063897763577
E01000845,698,393,305,56.30372492836676,12.421580928481808
E01000846,580,441,139,76.0344827586207,12.254160363086234
E01000847,619,415,204,67.04361873990307,15.782312925170066
E01000848,743,434,309,58.41184387617766,13.50407450523865
E01000849,738,475,263,64.36314363143632,16.985376827896513
E01000850,573,438,135,76.43979057591623,23.19034852546917
E01000851,632,477,155,75.4746835443038,35.96757852077001
E01000852,369,259,110,70.18970189701898,35.37653239929948
E01000853,721,626,95,86.82385575589458,14.064362336114423
E01000854,537,409,128,76.16387337057728,23.285714285714285
E01000855,811,550,261,67.81750924784217,39.97039230199852
E01000856,647,504,143,77.89799072642968,11.49110807113543
E01000857,637,376,261,59.02668759811617,10.909090909090908
E01000858,797,702,95,88.08030112923463,9.63718820861678
E01000859,694,389,305,56.05187319884726,20.956719817767656
E01000860,675,502,173,74.37037037037038,17.88321167883212
E01000861,697,538,159,77.18794835007174,15.206812652068127
E01000862,807,370,437,45.84882280049566,15.849843587069865
E01000863,692,502,190,72.54335260115607,13.930348258706468
E01000864,708,451,257,63.70056497175142,12.049689440993788
E01000865,419,255,164,60.85918854415274,14.139344262295081
E01000866,928,658,270,70.90517241379311,9.286412512218964
E01000867,765,619,146,80.91503267973856,11.560693641618498
E01000868,743,625,118,84.11843876177659,12.997658079625293
E01000869,878,589,289,67.08428246013668,10.040983606557377
E01000870,723,511,212,70.6777316735823,8.596713021491782
E01000871,651,282,369,43.31797235023041,10.206896551724139
E01000872,856,630,226,73.5981308411215,16.48780487804878
E01000873,664,328,336,49.39759036144578,10.148849797023004
E01000874,633,274,359,43.28593996840443,11.838440111420613
E01000875,768,538,230,70.05208333333334,12.027491408934708
E01000876,825,636,189,77.0909090909091,11.29032258064516
E01000877,657,389,268,59.20852359208524,13.438735177865613
E01000878,762,394,368,51.70603674540683,19.279661016949152
E01000879,573,323,250,56.36998254799301,14.985163204747776
E01000880,577,297,280,51.47313691507799,13.75186846038864
E01000881,604,422,182,69.86754966887418,13.714285714285715
E01000882,667,355,312,53.223388305847074,15.569620253164556
E01000883,757,517,240,68.29590488771467,20.89864158829676
E01000884,586,252,334,43.00341296928328,14.577259475218659
E01000885,532,209,323,39.285714285714285,16.614420062695924
