LSOA11CD,asian(%),black(%),mixed(%),white(%),other(%),Heterogeneity index
E01003933,21.290050590219227,14.207419898819563,5.691399662731872,53.161888701517704,5.649241146711636,0.6454390599717332
E01003935,22.628304821150856,13.685847589424572,6.298600311041991,52.17729393468118,5.209953343701399,0.6511371414612201
E01003939,23.90096008084891,17.12986356745831,6.568974229408793,45.67963617988883,6.720565942395148,0.6960365290834204
E01003945,9.30635838150289,14.682080924855493,6.994219653179192,65.26011560693642,3.7572254335260116,0.5375909652845066
E01003951,16.31827376938638,8.361429534726906,6.67565745111261,64.66621712744437,3.978422117329737,0.542168855480112
E01003953,4.345549738219896,10.366492146596858,6.701570680628273,75.70680628272251,2.8795811518324608,0.4088928483320087
E01003955,4.190981432360743,12.679045092838196,8.859416445623342,70.50397877984085,3.7665782493368702,0.47581900949137756
E01003968,12.5,50.87412587412587,7.604895104895106,19.318181818181817,9.702797202797203,0.6730402464668199
E01003972,7.04514363885089,35.22571819425445,6.976744186046512,43.98084815321477,6.771545827633379,0.6680670932197522
E01003977,10.40554962646745,21.398078975453576,6.136606189967983,55.12273212379936,6.937033084311634,0.6309550792795646
E01003994,10.850599781897492,22.410032715376225,6.9792802617230105,50.54525627044711,9.214830970556163,0.6691608523836083
E01003997,10.758513931888544,28.947368421052634,8.281733746130032,46.20743034055727,5.8049535603715166,0.6808893021115893
E01003998,6.052076002814919,18.7192118226601,6.263194933145671,64.5320197044335,4.433497536945813,0.5389698406480455
E01004001,3.737259343148358,40.09060022650057,6.058890147225368,45.97961494903737,4.133635334088336,0.6210854584327854
E01004003,6.5420560747663545,41.836173721825176,9.400769653655855,35.73391973611875,6.487080813633865,0.6799566363360787
E01004017,5.410334346504559,9.544072948328267,9.179331306990882,72.46200607902735,3.404255319148936,0.4533047551297569
E01004018,4.3203371970495255,9.483667017913593,7.639620653319283,74.71022128556375,3.8461538461538463,0.42366208787243187
E01004020,4.9714285714285715,40.114285714285714,9.942857142857143,39.65714285714286,5.314285714285714,0.6666337959183674
E01004021,4.53257790368272,11.756373937677052,6.562795089707271,75.2596789423985,1.8885741265344664,0.41305871432507557
E01004023,8.953418027828192,13.67211131276467,7.320024198427102,65.15426497277676,4.900181488203267,0.5410236900844642
E01004029,15.987933634992457,9.250879839115134,7.390648567119156,61.739567621920564,5.63097033685269,0.5760703476966452
E01004032,21.672240802675585,3.812709030100334,6.287625418060201,64.74916387959865,3.4782608695652173,0.5271690473260926
E01004034,6.670822942643391,22.880299251870323,7.73067331670823,54.05236907730673,8.665835411471322,0.6375473411235005
E01004043,6.449221645663454,9.636767976278724,6.449221645663454,72.646404744255,4.818383988139362,0.45232308367783103
E01004046,4.606525911708253,13.947536788227769,9.0850927703135,69.67370441458733,2.6871401151631478,0.48400614170707856
E01004056,13.93336218087408,11.423626135871917,5.841627001298139,64.25789701427954,4.54348766767633,0.5491516969338035
E01004061,4.693140794223827,15.403128760529484,7.400722021660649,68.53188929001203,3.9711191335740073,0.49735577305987455
E01004065,3.7258815701929473,14.97005988023952,7.584830339321358,71.45708582834331,2.262142381902861,0.45932530591954257
E01004066,5.4945054945054945,33.8270425226947,7.644529383659819,46.29718107978977,6.736741519350215,0.6578290111807634
E01004067,10.471441523118767,38.395285584768814,6.890299184043518,33.63553943789665,10.607434270172257,0.7124807559371993
E01004071,8.070866141732283,16.79790026246719,9.580052493438322,63.057742782152225,2.493438320209974,0.5578418101280648
E01004074,5.934195064629847,3.525264394829612,6.580493537015276,82.02115158636897,1.9388954171562869,0.3177826321697983
E01004079,18.96551724137931,6.68103448275862,4.022988505747127,67.88793103448276,2.442528735632184,0.4964751370722684
E01004080,23.93961179007908,10.0647016534867,5.535585909417685,57.51258087706685,2.9475197699496762,0.5978569224670665
E01004087,30.83280356007629,4.704386522568341,4.005085823267642,55.56261919898283,4.895104895104895,0.5899999555435029
E01004089,13.095238095238097,15.625,6.026785714285714,60.342261904761905,4.910714285714286,0.5882748281604309
E01004090,14.723467862481316,13.079222720478326,4.857997010463378,63.22869955156951,4.110612855007474,0.5573787707150533
E01004091,19.609375,2.65625,3.5937499999999996,72.578125,1.5625,0.4325476074218749
E01004094,15.775401069518717,4.491978609625669,7.165775401069519,70.32085561497327,2.2459893048128343,0.47295433097886697
