LSOA11CD,sum,rent,own,renter-occupied(%),unoccupied-occupied(%)
E01003973,754,680,74,90.18567639257294,6.102117061021171
E01003976,1146,840,306,73.29842931937172,7.655116841257051
E01003981,664,552,112,83.13253012048193,14.32258064516129
E01003989,884,682,202,77.14932126696833,3.4934497816593884
E01004002,658,233,425,35.410334346504555,4.63768115942029
E01004008,799,644,155,80.60075093867334,4.081632653061225
E01004012,920,670,250,72.82608695652173,3.664921465968586
E01004013,651,498,153,76.49769585253456,3.5555555555555554
E01004024,809,694,115,85.7849196538937,4.935370152761457
E01004031,1079,876,203,81.18628359592215,7.062876830318691
E01004033,1145,890,255,77.72925764192141,8.54632587859425
E01004035,591,479,112,81.04906937394247,1.9900497512437811
E01004039,636,451,185,70.9119496855346,4.360902255639098
E01004053,890,498,392,55.95505617977528,12.22879684418146
E01004068,815,570,245,69.93865030674846,6.963470319634703
E01004073,699,249,450,35.622317596566525,5.156037991858888
E01004083,609,452,157,74.2200328407225,2.090032154340836
E01004098,513,110,403,21.44249512670565,1.9120458891013385
E01004111,681,151,530,22.17327459618209,4.084507042253521
E01004112,673,103,570,15.304606240713223,2.6049204052098407
E01004135,511,87,424,17.025440313111545,2.8517110266159698
E01004141,751,375,376,49.93342210386152,5.771643663739021
E01004157,447,30,417,6.711409395973154,2.4017467248908297
E01004172,839,483,356,57.56853396901073,4.223744292237443
E01004194,695,220,475,31.654676258992804,3.0683403068340307
E01004204,709,559,150,78.84344146685473,4.318488529014845
E01004211,748,570,178,76.20320855614973,6.965174129353234
E01004230,837,596,241,71.20669056152927,4.561003420752566
E01004242,2354,1714,640,72.8122344944775,5.915267785771383
E01004243,456,323,133,70.83333333333334,7.128309572301425
E01004246,1391,841,550,60.46010064701653,6.4559515803631475
E01004249,777,670,107,86.22908622908622,8.909730363423213
E01004251,931,736,195,79.0547798066595,5.578093306288032
E01004275,884,572,312,64.70588235294117,7.43455497382199
E01004281,813,552,261,67.89667896678966,11.34133042529989
E01004288,604,521,83,86.25827814569537,5.329153605015674
E01004321,844,752,92,89.0995260663507,11.899791231732777
E01004332,646,432,214,66.87306501547987,7.977207977207977
E01004341,743,594,149,79.94616419919247,7.587064676616915
E01004342,727,342,385,47.04264099037139,4.342105263157895
E01004347,796,318,478,39.949748743718594,5.463182897862233
E01004352,794,222,572,27.95969773299748,5.023923444976076
E01004364,619,306,313,49.43457189014539,5.061349693251533
E01004366,664,217,447,32.68072289156627,4.046242774566474
E01004397,1134,640,494,56.4373897707231,4.545454545454546
E01004398,658,429,229,65.19756838905775,5.05050505050505
E01004405,614,304,310,49.5114006514658,4.361370716510903
E01004435,823,546,277,66.34264884568651,6.900452488687783
E01004438,790,431,359,54.55696202531646,10.633484162895927
E01004442,618,270,348,43.68932038834952,7.48502994011976
E01004444,1154,744,410,64.47140381282496,3.430962343096234
E01004448,761,370,391,48.620236530880426,4.636591478696742
E01004449,642,474,168,73.83177570093457,2.28310502283105
E01004492,744,367,377,49.32795698924731,4.615384615384616
E01004494,798,508,290,63.65914786967418,4.77326968973747
E01004502,687,252,435,36.68122270742359,4.3175487465181055
E01004506,1103,635,468,57.57026291931096,8.616404308202155
E01004522,643,299,344,46.50077760497668,5.4411764705882355
E01004544,588,235,353,39.965986394557824,4.545454545454546
E01004554,621,252,369,40.57971014492754,6.896551724137931
E01004584,718,604,114,84.12256267409471,4.521276595744681
E01004585,820,467,353,56.95121951219512,8.071748878923767
E01004599,566,130,436,22.968197879858657,5.351170568561873
E01004604,595,139,456,23.361344537815125,4.647435897435898
E01004627,608,271,337,44.57236842105263,6.461538461538462
E01004636,620,355,265,57.25806451612904,8.689248895434462
E01004643,969,569,400,58.7203302373581,7.094918504314478
E01004654,1206,805,401,66.74958540630183,18.897108271687962
E01004665,576,465,111,80.72916666666666,8.280254777070063
E01004717,747,554,193,74.16331994645248,34.12698412698413
E01004718,789,600,189,76.04562737642586,9.828571428571427
E01004754,679,591,88,87.03976435935199,5.299860529986053
E01004756,747,565,182,75.63587684069611,17.0
E01032577,608,143,465,23.519736842105264,2.564102564102564
E01032579,965,714,251,73.98963730569949,8.444022770398481
E01032639,782,548,234,70.076726342711,4.049079754601228
E01032646,806,543,263,67.3697270471464,13.796791443850267
E01032719,801,586,215,73.1585518102372,12.074643249176729
E01032741,733,459,274,62.61937244201909,10.17156862745098
E01032744,518,295,223,56.94980694980695,5.301645338208409
E01032767,798,608,190,76.19047619047619,18.654434250764528
E01032783,577,460,117,79.72270363951473,8.55784469096672
E01032784,744,527,217,70.83333333333334,7.000000000000001
E01033081,772,480,292,62.17616580310881,8.31353919239905
E01033093,1636,745,891,45.53789731051345,17.457114026236127
E01033325,715,505,210,70.62937062937063,9.37896070975919
E01033571,610,236,374,38.68852459016394,3.0206677265500796
E01033573,1332,884,448,66.36636636636636,11.904761904761903
E01033588,575,423,152,73.56521739130434,2.5423728813559325
E01033602,632,552,80,87.34177215189874,8.005822416302767
E01033603,600,477,123,79.5,9.90990990990991
E01033604,544,508,36,93.38235294117648,17.575757575757574
E01033706,731,581,150,79.48016415868673,21.734475374732334
E01033726,2519,1503,1016,59.66653433902343,4.72768532526475
E01033730,1477,1016,461,68.78808395396074,8.48822800495663
E01033746,705,373,332,52.90780141843972,4.471544715447155
