LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01003711,27,0.0,0,5,3,9,4,3.0,3.0,0.0,0
E01003226,27,1.0,3,3,0,8,2,4.0,1.0,0.0,5
E01004348,27,1.0,4,4,1,7,2,1.0,1.0,0.0,6
E01002883,27,2.0,7,2,1,2,4,3.0,2.0,1.0,3
E01003481,27,0.0,3,1,3,14,3,2.0,0.0,0.0,1
E01003701,26,1.0,5,5,3,5,1,3.0,0.0,2.0,1
E01000459,26,1.0,2,5,0,8,3,4.0,1.0,0.0,2
E01033581,26,2.0,3,2,2,11,2,2.0,2.0,0.0,0
E01032766,26,4.0,4,0,1,0,2,7.0,1.0,3.0,4
E01001779,26,3.0,4,2,1,7,2,4.0,0.0,1.0,2
E01001829,26,3.0,5,1,1,3,0,8.0,2.0,1.0,2
E01001261,25,0.0,0,0,3,15,2,0.0,2.0,2.0,1
E01003062,25,3.0,5,3,1,3,1,5.0,1.0,0.0,3
E01003690,25,0.0,4,4,1,9,1,3.0,2.0,0.0,1
E01004262,25,2.0,3,4,1,3,2,4.0,1.0,0.0,5
E01000752,25,2.0,1,1,2,15,2,1.0,0.0,0.0,1
E01002008,25,3.0,0,0,4,9,6,2.0,1.0,0.0,0
E01001018,25,1.0,3,1,1,15,2,1.0,0.0,0.0,1
E01002772,25,1.0,4,5,1,3,1,6.0,0.0,1.0,3
E01002558,25,0.0,1,7,0,5,3,3.0,2.0,0.0,4
E01002497,24,1.0,2,6,0,5,3,1.0,1.0,4.0,1
E01003569,24,0.0,3,1,0,3,1,7.0,0.0,1.0,8
E01001015,24,0.0,2,0,1,15,5,0.0,1.0,0.0,0
E01004460,24,0.0,4,6,0,4,1,5.0,1.0,0.0,3
E01003101,24,1.0,3,2,3,3,3,6.0,2.0,1.0,0
E01004094,23,1.0,1,2,0,12,2,2.0,1.0,0.0,2
E01000960,23,0.0,5,1,0,6,3,3.0,2.0,1.0,2
E01001042,23,4.0,3,4,1,1,2,2.0,1.0,1.0,4
E01033711,23,2.0,4,4,0,5,1,3.0,1.0,0.0,3
E01004195,23,1.0,2,9,0,5,2,3.0,0.0,0.0,1
E01002132,23,2.0,0,0,6,9,1,1.0,2.0,0.0,2
E01032769,23,1.0,3,4,0,4,2,3.0,2.0,0.0,4
E01000912,22,1.0,5,0,2,7,3,0.0,2.0,1.0,1
E01003994,22,1.0,2,6,1,6,0,1.0,3.0,1.0,1
E01033030,22,1.0,3,4,0,1,1,4.0,5.0,1.0,2
E01000298,22,1.0,4,1,1,6,1,2.0,0.0,4.0,2
E01004455,22,0.0,1,1,2,8,2,1.0,1.0,4.0,2
E01033084,22,1.0,1,4,0,7,2,6.0,0.0,0.0,1
E01002578,22,0.0,1,0,1,12,3,3.0,0.0,0.0,2
E01000896,22,1.0,6,1,0,3,3,5.0,1.0,0.0,2
E01002384,21,1.0,0,4,1,11,1,0.0,1.0,1.0,1
E01001238,21,0.0,1,3,0,13,0,1.0,0.0,1.0,2
E01000261,21,1.0,0,0,4,12,3,0.0,1.0,0.0,0
E01000832,21,1.0,3,1,1,11,3,1.0,0.0,0.0,0
E01001352,21,1.0,1,0,0,4,4,5.0,2.0,2.0,2
E01000806,21,0.0,3,3,2,3,1,4.0,1.0,0.0,4
E01000516,21,1.0,2,4,0,4,4,0.0,0.0,0.0,6
E01002598,21,0.0,0,5,0,7,1,3.0,0.0,2.0,3
E01001780,21,2.0,3,5,1,1,2,2.0,3.0,0.0,2
E01004507,21,0.0,4,0,1,3,3,4.0,3.0,0.0,3
E01033132,21,2.0,1,1,0,2,2,10.0,0.0,3.0,0
E01000926,20,1.0,2,2,1,3,4,1.0,0.0,4.0,2
E01002849,20,2.0,1,1,1,1,3,5.0,4.0,1.0,1
E01003933,20,1.0,3,1,1,8,5,0.0,0.0,0.0,1
E01002919,20,1.0,1,0,1,10,6,0.0,0.0,0.0,1
E01004018,20,2.0,3,0,0,8,2,2.0,0.0,0.0,3
E01000859,20,4.0,6,0,0,0,2,7.0,0.0,0.0,1
E01000930,20,2.0,1,2,0,5,1,4.0,1.0,2.0,2
E01000670,20,1.0,0,0,1,11,5,1.0,1.0,0.0,0
E01003640,20,2.0,0,0,2,14,1,1.0,0.0,0.0,0
E01001402,20,1.0,3,1,0,5,3,5.0,0.0,1.0,1
E01004615,19,0.0,2,1,1,5,4,1.0,3.0,0.0,2
E01033741,19,1.0,0,2,1,12,2,0.0,0.0,0.0,1
E01004222,19,2.0,5,2,1,2,1,0.0,4.0,0.0,2
E01003531,19,0.0,2,2,1,10,2,1.0,0.0,0.0,1
E01003107,19,3.0,2,2,0,5,1,4.0,0.0,0.0,2
E01000124,19,0.0,3,3,1,6,3,0.0,0.0,1.0,2
E01001277,19,1.0,0,1,0,12,2,1.0,1.0,1.0,0
E01000085,19,1.0,2,5,0,4,1,0.0,0.0,0.0,6
E01000139,19,0.0,0,1,5,8,2,1.0,0.0,0.0,2
E01000161,19,0.0,0,3,2,7,1,3.0,0.0,0.0,3
E01000316,19,0.0,0,1,2,8,3,5.0,0.0,0.0,0
E01001172,19,0.0,2,2,1,7,3,3.0,0.0,1.0,0
E01004152,19,0.0,1,2,2,8,2,3.0,0.0,0.0,1
E01003503,19,0.0,2,1,1,7,2,3.0,0.0,2.0,1
